New Folio No. and Face,Entry No.,Entry Part,Date Range-Standard-Start,Date Range-Standard-End,Date-Inferred,Date-Uncertain,Date-Approximate,Date-Type,Place-As Written,Place-Type,Place- Function,Date-Notes,Recited Date 1 Range-Standard-Start,Recited Date Range-Standard-End,Recited Date-Inferred,Recited Date-Uncertain,Recited Date-Approximate,Recited Date 1-Function,Recited Date 1-Place-As Written,Recited Date 1-Place-Type,Recited Date 1- Notes,Recited date 2-standard,Recited date 2-place-as written,Recited date 2-place – function,Recited date 2-place – type
7 r - 7 r,45,,1378-08-11,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
7 r - 7 r,46,,1378-11-18,,,,,Document date,Gloucestr',,,,,,,,,,,,,,,,
7 r - 7 r,47,,1378-11-18,,,,,Memorandum date,Gloucestr',,,,,,,,,,,,,,,,
7 r - 7 r,48,,1378-08-09,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
7 r - 7 r,49,,1378-08-09,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
7 r - 7 r,50,,1379-02-02,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
7 r - 7 v,51,,1379-06-21,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
7 v - 7 v,52,,1379-06-20,,,,,Document date,Cawode,,,,[0000-00-00],,,,,,,,,,,,
7 v - 7 v,53,,1379-09-21,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
7 v - 7 v,54,,1379-11-05,,,,,Event date,Cawode,in the chapel within the archbishop's manor,,,,,,,,,,,,,,,
7 v - 7 v,55,,1379-11-05,,,,,Memorandum date,[Cawod],,,,,,,,,,,,,,,,
8 r - 9 r,56,,1379-08-12,,,,,Document date,Cawode,,,,1378-08-12,,,,,,Beverl',,,1378-07-01,Westm',,
9 r - 9 r,57,,1379-11-03,,,,,Document date,Ripon',,,,,,,,,,,,,,,,
9 r - 9 r,58,,1379-11-03,,,,,Document date,Ripon',,,,,,,,,,,,,,,,
9 v - 9 v,59,,1379-11-09,,,,,Document date,Ripon',,,,,,,,,,,,,,,,
9 v - 9 v,60,,1379-11-09,,,,,Memorandum date,Ripon',,,,,,,,,,,,,,,,
9 v - 9 v,61,,1379-11-09,,,,,Document date,Ripon',,,,,,,,,,,,,,,,
9 v - 9 v,62,,1379-11-09,,,,,Memorandum date,Ripon',,,,,,,,,,,,,,,,
9 v - 9 v,63,,1379-12-08,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
9 v - 9 v,64,,1380-06-26,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
9 v - 9 v,65,,1379-12-24,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
9 v - 9 v,66,,1380-01-23,,,,,Document date,Westm',,,,,,,,,,,,,,,,
9 v - 9 v,67,,1380-04-30,,,,,Document date,Gloucestr',,,,,,,,,,,,,,,,
9 v - 9 v,68,a,1380-12-01,,,,,Event date,Ripon',,,,,,,,,,,,,,,,
9 v - 9 v,68,b,1380-12-01,,,,,Event date,Ripon',,,,,,,,,,,,,,,,
9 v - 9 v,69,,1380-12-14,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
10 r - 10 r,70,,1381-01-11,,,,,Document date,Thorp iuxta Ebor',,,,,,,,,,,,,,,,
10 r - 10 r,71,,1381-02-01,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
10 r - 10 r,72,,1381-02-03,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
10 r - 10 r,73,,1381-02-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
10 r - 10 r,74,,1381-02-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
10 r - 10 r,75,,1381-02-25,,,,,Document date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
10 r - 10 r,76,,1381-02-25,,,,,Memorandum date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
