Image,folio,recto/verso,Notes,UV,PID
Abp_Reg_28_0001,,,Outside of front board,,york:906334
Abp_Reg_28_0002,,,Pastedown on inside of front board; Paper,,york:906335
Abp_Reg_28_0003,,,Front flyleaf 1 (recto); Paper,,york:906336
Abp_Reg_28_0004,,,Front flyleaf 1 (verso); Paper,,york:906337
Abp_Reg_28_0005,,,Front flyleaf 2 (recto); Paper,,york:906338
Abp_Reg_28_0006,,,Front flyleaf 2 (verso); Paper,,york:906339
Abp_Reg_28_0007,i,r,Index,,york:906340
Abp_Reg_28_0008,i,v,Index,,york:906341
Abp_Reg_28_0009,ii,r,Index,,york:906342
Abp_Reg_28_0010,ii,v,Index,,york:906343
Abp_Reg_28_0011,iii,r,Index,,york:906344
Abp_Reg_28_0012,iii,v,Index,,york:906345
Abp_Reg_28_0013,1,r,,,york:906346
Abp_Reg_28_0014,1,v,,,york:906347
Abp_Reg_28_0015,1A,r,,,york:906348
Abp_Reg_28_0016,1A,v,,,york:906349
Abp_Reg_28_0017,1B,r,,,york:906350
Abp_Reg_28_0018,1B,v,,,york:906351
Abp_Reg_28_0019,1C,r,,,york:906352
Abp_Reg_28_0020,1C,v,,,york:906353
Abp_Reg_28_0021,2,r,,,york:906354
Abp_Reg_28_0022,2,v,,,york:906355
Abp_Reg_28_0023,3,r,,,york:906356
Abp_Reg_28_0024,3,v,,,york:906357
Abp_Reg_28_0025,4,r,,,york:906358
Abp_Reg_28_0026,4,v,,,york:906359
Abp_Reg_28_0027,5,r,,,york:906360
Abp_Reg_28_0028,5,v,,,york:906361
Abp_Reg_28_0029,6,r,,,york:906362
Abp_Reg_28_0030,6,v,,,york:906363
Abp_Reg_28_0031,7,r,,,york:906364
Abp_Reg_28_0032,7,v,,,york:906365
Abp_Reg_28_0033,8,r,,,york:906366
Abp_Reg_28_0034,8,v,,,york:906367
Abp_Reg_28_0035,9,r,,,york:906368
Abp_Reg_28_0036,9,v,,,york:906369
Abp_Reg_28_0037,10,r,,,york:906370
Abp_Reg_28_0038,10,v,,,york:906371
Abp_Reg_28_0039,11,r,,,york:906372
Abp_Reg_28_0040,11,v,,,york:906373
Abp_Reg_28_0041,12,r,,,york:906374
Abp_Reg_28_0042,12,v,,,york:906375
Abp_Reg_28_0043,13,r,,,york:906376
Abp_Reg_28_0044,13,v,,,york:906377
Abp_Reg_28_0045,14,r,,,york:906378
Abp_Reg_28_0046,14,v,,,york:906379
Abp_Reg_28_0047,15,r,,,york:906380
Abp_Reg_28_0048,15,v,,,york:906381
Abp_Reg_28_0049,16,r,,,york:906382
Abp_Reg_28_0050,16,v,,,york:906383
Abp_Reg_28_0051,17,r,,,york:906384
Abp_Reg_28_0052,17,v,,,york:906385
Abp_Reg_28_0053,18,r,,,york:906386
Abp_Reg_28_0054,18,v,,,york:906387
Abp_Reg_28_0055,19,r,,,york:906388
Abp_Reg_28_0056,19,v,,,york:906389
Abp_Reg_28_0057,20,r,,,york:906390
Abp_Reg_28_0058,20,v,,,york:906391
Abp_Reg_28_0059,21,r,,,york:906392
Abp_Reg_28_0060,21,v,,,york:906393
Abp_Reg_28_0061,22,r,,,york:906394
Abp_Reg_28_0062,22,v,,,york:906395
Abp_Reg_28_0063,23,r,,,york:906396
Abp_Reg_28_0064,23,v,,,york:906397
Abp_Reg_28_0065,24,r,,,york:906398
Abp_Reg_28_0066,24,v,,,york:906399
Abp_Reg_28_0067,25,r,,,york:906400
Abp_Reg_28_0068,25,v,,,york:906401
Abp_Reg_28_0069,26,r,,,york:906402
Abp_Reg_28_0070,26,v,,,york:906403
Abp_Reg_28_0071,27,r,,,york:906404
Abp_Reg_28_0072,27,v,,,york:906405
Abp_Reg_28_0073,28,r,,,york:906406
Abp_Reg_28_0074,28,v,,,york:906407
Abp_Reg_28_0075,29,r,,,york:906408
Abp_Reg_28_0076,29,v,,,york:906409
Abp_Reg_28_0077,30,r,,,york:906410
Abp_Reg_28_0078,30,v,,,york:906411
Abp_Reg_28_0079,31,r,,,york:906412
Abp_Reg_28_0080,31,v,,,york:906413
Abp_Reg_28_0081,32,r,,,york:906414
Abp_Reg_28_0082,32,v,,,york:906415
Abp_Reg_28_0083,33,r,,,york:906416
Abp_Reg_28_0084,33,v,,,york:906417
Abp_Reg_28_0085,34,r,,,york:906418
Abp_Reg_28_0086,34,v,,,york:906419
Abp_Reg_28_0087,35,r,,,york:906420
Abp_Reg_28_0088,35,v,,,york:906421
Abp_Reg_28_0089,36,r,,,york:906422
Abp_Reg_28_0090,36,v,,,york:906423
Abp_Reg_28_0091,36A,r,Paper,,york:906424
Abp_Reg_28_0092,36A,v,Paper,,york:906425
Abp_Reg_28_0093,36B,r,Paper,,york:906426
Abp_Reg_28_0094,36B,v,Paper,,york:906427
Abp_Reg_28_0095,37,r,,,york:906428
Abp_Reg_28_0096,37,v,,,york:906429
Abp_Reg_28_0097,38,r,,,york:906430
Abp_Reg_28_0098,38,v,,,york:906431
Abp_Reg_28_0099,39,r,,,york:906432
Abp_Reg_28_0100,39,v,,,york:906433
Abp_Reg_28_0101,40,r,,,york:906434
Abp_Reg_28_0102,40,v,,,york:906435
Abp_Reg_28_0103,41,r,,,york:906436
Abp_Reg_28_0104,41,v,,,york:906437
Abp_Reg_28_0105,42,r,,,york:906438
Abp_Reg_28_0106,42,v,,,york:906439
Abp_Reg_28_0107,43,r,,,york:906440
Abp_Reg_28_0108,43,v,,,york:906441
Abp_Reg_28_0109,44,r,,,york:906442
Abp_Reg_28_0110,44,v,,,york:906443
Abp_Reg_28_0111,45,r,,,york:906444
Abp_Reg_28_0112,45,v,,,york:906445
Abp_Reg_28_0113,46,r,,,york:906446
Abp_Reg_28_0114,46,v,,,york:906447
Abp_Reg_28_0115,47,r,,,york:906448
Abp_Reg_28_0116,47,v,,,york:906449
Abp_Reg_28_0117,48,r,,,york:906450
Abp_Reg_28_0118,48,v,,,york:906451
Abp_Reg_28_0119,49,r,,,york:906452
Abp_Reg_28_0120,49,v,,,york:906453
Abp_Reg_28_0121,50,r,,,york:906454
Abp_Reg_28_0122,50,v,,,york:906455
Abp_Reg_28_0123,51,r,,,york:906456
Abp_Reg_28_0124,51,v,,,york:906457
Abp_Reg_28_0125,52,r,,,york:906458
Abp_Reg_28_0126,52,v,,,york:906459
Abp_Reg_28_0127,53,r,,,york:906460
Abp_Reg_28_0128,53,v,,,york:906461
Abp_Reg_28_0129,54,r,,,york:906462
Abp_Reg_28_0130,54,v,,,york:906463
Abp_Reg_28_0131,55,r,,,york:906464
Abp_Reg_28_0132,55,v,,,york:906465
Abp_Reg_28_0133,56,r,,,york:906466
Abp_Reg_28_0134,56,v,,,york:906467
Abp_Reg_28_0135,57,r,,,york:906468
Abp_Reg_28_0136,57,v,,,york:906469
Abp_Reg_28_0137,58,r,,,york:906470
Abp_Reg_28_0138,58,v,,,york:906471
Abp_Reg_28_0139,59,r,,,york:906472
Abp_Reg_28_0140,59,v,,,york:906473
Abp_Reg_28_0141,60,r,,,york:906474
Abp_Reg_28_0142,60,v,,,york:906475
Abp_Reg_28_0143,61,r,,,york:906476
Abp_Reg_28_0144,61,v,,,york:906477
Abp_Reg_28_0145,62,r,,,york:906478
Abp_Reg_28_0146,62,v,,,york:906479
Abp_Reg_28_0147,63,r,,,york:906480
Abp_Reg_28_0148,63,v,,,york:906481
Abp_Reg_28_0149,64,r,,,york:906482
Abp_Reg_28_0150,64,v,,,york:906483
Abp_Reg_28_0151,65,r,,,york:906484
Abp_Reg_28_0152,65,v,,,york:906485
Abp_Reg_28_0153,66,r,,,york:906486
Abp_Reg_28_0154,66,v,,,york:906487
Abp_Reg_28_0155,67,r,,,york:906488
Abp_Reg_28_0156,67,v,,,york:906489
Abp_Reg_28_0157,68,r,,,york:906490
Abp_Reg_28_0158,68,v,,,york:906491
Abp_Reg_28_0159,69,r,,,york:906492
Abp_Reg_28_0160,69,v,,,york:906493
Abp_Reg_28_0161,70,r,,,york:906494
Abp_Reg_28_0162,70,v,,,york:906495
Abp_Reg_28_0163,71,r,,,york:906496
Abp_Reg_28_0164,71,v,,,york:906497
Abp_Reg_28_0165,72,r,,,york:906498
Abp_Reg_28_0166,72,v,,,york:906499
Abp_Reg_28_0167,73,r,,,york:906500
Abp_Reg_28_0168,73,v,,,york:906501
Abp_Reg_28_0169,74,r,,,york:906502
Abp_Reg_28_0170,74,v,,,york:906503
Abp_Reg_28_0171,75,r,,,york:906504
Abp_Reg_28_0172,75,v,,,york:906505
Abp_Reg_28_0173,76,r,,,york:906506
Abp_Reg_28_0174,76,v,,,york:906507
Abp_Reg_28_0175,77,r,,,york:906508
Abp_Reg_28_0176,77,v,,,york:906509
Abp_Reg_28_0177,78,r,,,york:906510
Abp_Reg_28_0178,78,v,,,york:906511
Abp_Reg_28_0179,79,r,,,york:906512
Abp_Reg_28_0180,79,v,,,york:906513
Abp_Reg_28_0181,80,r,Guard,,york:906514
Abp_Reg_28_0182,79,v,Guard,,york:906515
Abp_Reg_28_0183,80,r,,,york:906516
Abp_Reg_28_0184,80,v,,,york:906517
Abp_Reg_28_0185,81,r,,,york:906518
Abp_Reg_28_0186,81,v,,,york:906519
Abp_Reg_28_0187,82,r,,,york:906520
Abp_Reg_28_0188,82,v,,,york:906521
Abp_Reg_28_0189,83,r,,,york:906522
Abp_Reg_28_0190,83,v,,,york:906523
Abp_Reg_28_0191,84,r,,,york:906524
Abp_Reg_28_0192,84,v,,,york:906525
Abp_Reg_28_0193,85,r,,,york:906526
Abp_Reg_28_0194,85,v,,,york:906527
Abp_Reg_28_0195,86,r,,,york:906528
Abp_Reg_28_0196,86,v,,,york:906529
Abp_Reg_28_0197,87,r,,,york:906530
Abp_Reg_28_0198,87,v,,,york:906531
Abp_Reg_28_0199,88,r,,,york:906532
Abp_Reg_28_0200,88,v,,,york:906533
Abp_Reg_28_0201,89,r,,,york:906534
Abp_Reg_28_0202,89,v,,,york:906535
Abp_Reg_28_0203,90,r,,,york:906536
Abp_Reg_28_0204,90,v,,,york:906537
Abp_Reg_28_0205,91,r,,,york:906538
Abp_Reg_28_0206,91,v,,,york:906539
Abp_Reg_28_0207,92,r,,,york:906540
Abp_Reg_28_0208,92,v,,,york:906541
Abp_Reg_28_0209,93,r,,,york:906542
Abp_Reg_28_0210,93,v,,,york:906543
Abp_Reg_28_0211,94,r,,,york:906544
Abp_Reg_28_0212,94,v,,,york:906545
Abp_Reg_28_0213,95,r,,,york:906546
Abp_Reg_28_0214,95,v,,,york:906547
Abp_Reg_28_0215,96,r,,,york:906548
Abp_Reg_28_0216,96,v,,,york:906549
Abp_Reg_28_0217,97,r,,,york:906550
Abp_Reg_28_0218,97,v,,,york:906551
Abp_Reg_28_0219,98,r,,,york:906552
Abp_Reg_28_0220,98,v,,,york:906553
Abp_Reg_28_0221,99,r,,,york:906554
Abp_Reg_28_0222,99,v,,,york:906555
Abp_Reg_28_0223,100,r,,,york:906556
Abp_Reg_28_0224,100,v,,,york:906557
Abp_Reg_28_0225,101,r,,,york:906558
Abp_Reg_28_0226,101,v,,,york:906559
Abp_Reg_28_0227,102,r,,,york:906560
Abp_Reg_28_0228,102,v,,,york:906561
Abp_Reg_28_0229,103,r,,,york:906562
Abp_Reg_28_0230,103,v,,,york:906563
Abp_Reg_28_0231,104,r,,,york:906564
Abp_Reg_28_0232,104,v,,,york:906565
Abp_Reg_28_0233,105,r,,,york:906566
Abp_Reg_28_0234,105,v,,,york:906567
Abp_Reg_28_0235,106,r,,,york:906568
Abp_Reg_28_0236,106,v,,,york:906569
Abp_Reg_28_0237,107,r,,,york:906570
Abp_Reg_28_0238,107,v,,,york:906571
Abp_Reg_28_0239,108,r,,,york:906572
Abp_Reg_28_0240,108,v,,,york:906573
Abp_Reg_28_0241,109,r,,,york:906574
Abp_Reg_28_0242,109,v,,,york:906575
Abp_Reg_28_0243,110,r,,,york:906576
Abp_Reg_28_0244,110,v,,,york:906577
Abp_Reg_28_0245,111,r,,,york:906578
Abp_Reg_28_0246,111,v,,,york:906579
Abp_Reg_28_0247,112,r,,,york:906580
Abp_Reg_28_0248,112,v,,,york:906581
Abp_Reg_28_0249,113,r,,,york:906582
Abp_Reg_28_0250,113,v,,,york:906583
Abp_Reg_28_0251,114,r,,,york:906584
Abp_Reg_28_0252,114,v,,,york:906585
Abp_Reg_28_0253,115,r,,,york:906586
Abp_Reg_28_0254,115,v,,,york:906587
Abp_Reg_28_0255,116,r,,,york:906588
Abp_Reg_28_0256,116,v,,,york:906589
Abp_Reg_28_0257,117,r,,,york:906590
Abp_Reg_28_0258,117,v,,,york:906591
Abp_Reg_28_0259,118,r,,,york:906592
Abp_Reg_28_0260,118,v,,,york:906593
Abp_Reg_28_0261,119,r,,,york:906594
Abp_Reg_28_0262,119,v,,,york:906595
Abp_Reg_28_0263,120,r,,,york:906596
Abp_Reg_28_0264,120,v,,,york:906597
Abp_Reg_28_0265,121,r,,,york:906598
Abp_Reg_28_0266,121,v,,,york:906599
Abp_Reg_28_0267,122,r,,,york:906600
Abp_Reg_28_0268,122,v,,,york:906601
Abp_Reg_28_0269,123,r,,,york:906602
Abp_Reg_28_0270,123,v,,,york:906603
Abp_Reg_28_0271,124,r,,,york:906604
Abp_Reg_28_0272,124,v,,,york:906605
Abp_Reg_28_0273,125,r,,,york:906606
Abp_Reg_28_0274,125,v,,,york:906607
Abp_Reg_28_0275,126,r,,,york:906608
Abp_Reg_28_0276,126,v,,,york:906609
Abp_Reg_28_0277,127,r,,,york:906610
Abp_Reg_28_0278,127,v,,,york:906611
Abp_Reg_28_0279,128,r,,,york:906612
Abp_Reg_28_0280,128,v,,,york:906613
Abp_Reg_28_0281,129,r,,,york:906614
Abp_Reg_28_0282,129,v,,,york:906615
Abp_Reg_28_0283,130,r,,,york:906616
Abp_Reg_28_0284,130,v,,,york:906617
Abp_Reg_28_0285,131,r,,,york:906618
Abp_Reg_28_0286,131,v,,,york:906619
Abp_Reg_28_0287,132,r,,,york:906620
Abp_Reg_28_0288,132,v,,,york:906621
Abp_Reg_28_0289,133,r,,,york:906622
Abp_Reg_28_0290,133,v,,,york:906623
Abp_Reg_28_0291,134,r,,,york:906624
Abp_Reg_28_0292,134,v,,,york:906625
Abp_Reg_28_0293,135,r,,,york:906626
Abp_Reg_28_0294,135,v,,,york:906627
