Image,folio,recto/verso,Notes,UV,PID
Abp_Reg_24_0001,,,Outside of front board,,york:900708
Abp_Reg_24_0002,,,Pastedown on inside of front board; Paper,,york:900709
Abp_Reg_24_0003,,,Front flyleaf 1 (recto); Paper,,york:900710
Abp_Reg_24_0004,,,Front flyleaf 1 (verso); Paper,,york:900711
Abp_Reg_24_0005,,,Front flyleaf 2 (recto); Paper,,york:900712
Abp_Reg_24_0006,,,Front flyleaf 2 (verso); Paper,,york:900713
Abp_Reg_24_0007,1,r,,,york:900714
Abp_Reg_24_0008,1,v,,,york:900715
Abp_Reg_24_0009,2,r,,,york:900716
Abp_Reg_24_0010,2,v,,,york:900717
Abp_Reg_24_0011,3,r,,,york:900718
Abp_Reg_24_0012,3,v,,,york:900719
Abp_Reg_24_0013,4,r,,,york:900720
Abp_Reg_24_0014,4,v,,,york:900721
Abp_Reg_24_0015,5,r,,,york:900722
Abp_Reg_24_0016,5,v,,,york:900723
Abp_Reg_24_0017,6,r,,,york:900724
Abp_Reg_24_0018,6,v,,,york:900725
Abp_Reg_24_0019,7,r,,,york:900726
Abp_Reg_24_0020,7,v,,,york:900727
Abp_Reg_24_0021,8,r,,,york:900728
Abp_Reg_24_0022,8,v,,,york:900729
Abp_Reg_24_0023,9,r,,,york:900730
Abp_Reg_24_0024,9,v,,,york:900731
Abp_Reg_24_0025,10,r,,,york:900732
Abp_Reg_24_0026,10,v,,,york:900733
Abp_Reg_24_0027,11,r,,,york:900734
Abp_Reg_24_0028,11,v,,,york:900735
Abp_Reg_24_0029,12,r,,,york:900736
Abp_Reg_24_0030,12,v,,,york:900737
Abp_Reg_24_0031,13,r,,,york:900738
Abp_Reg_24_0032,13,v,,,york:900739
Abp_Reg_24_0033,14,r,,,york:900740
Abp_Reg_24_0034,14,v,,,york:900741
Abp_Reg_24_0035,15,r,,,york:900742
Abp_Reg_24_0036,15,v,,,york:900743
Abp_Reg_24_0037,16,r,,,york:900744
Abp_Reg_24_0038,16,v,,,york:900745
Abp_Reg_24_0039,17,r,,,york:900746
Abp_Reg_24_0040,17,v,,,york:900747
Abp_Reg_24_0041,18,r,,,york:900748
Abp_Reg_24_0042,18,v,,,york:900749
Abp_Reg_24_0043,19,r,,,york:900750
Abp_Reg_24_0044,19,v,,,york:900751
Abp_Reg_24_0045,20,r,,,york:900752
Abp_Reg_24_0046,20,v,,,york:900753
Abp_Reg_24_0047,21,r,,,york:900754
Abp_Reg_24_0048,21,v,,,york:900755
Abp_Reg_24_0049,22,r,,,york:900756
Abp_Reg_24_0050,22,v,,,york:900757
Abp_Reg_24_0051,23,r,,,york:900758
Abp_Reg_24_0052,23,v,,,york:900759
Abp_Reg_24_0053,24,r,,,york:900760
Abp_Reg_24_0054,24,v,,,york:900761
Abp_Reg_24_0055,25,r,,,york:900762
Abp_Reg_24_0056,25,v,,,york:900763
Abp_Reg_24_0057,26,r,,,york:900764
Abp_Reg_24_0058,26,v,,,york:900765
Abp_Reg_24_0059,27,r,,,york:900766
Abp_Reg_24_0060,27,v,,,york:900767
Abp_Reg_24_0061,28,r,,,york:900768
Abp_Reg_24_0062,28,v,,,york:900769
Abp_Reg_24_0063,29,r,,,york:900770
Abp_Reg_24_0064,29,v,,,york:900771
Abp_Reg_24_0065,30,r,,,york:900772
Abp_Reg_24_0066,30,v,,,york:900773
Abp_Reg_24_0067,31,r,,,york:900774
Abp_Reg_24_0068,31,v,,,york:900775
Abp_Reg_24_0069,32,r,,,york:900776
Abp_Reg_24_0070,32,v,,,york:900777
Abp_Reg_24_0071,33,r,,,york:900778
Abp_Reg_24_0072,33,v,,,york:900779
Abp_Reg_24_0073,34,r,,,york:900780
Abp_Reg_24_0074,34,v,,,york:900781
Abp_Reg_24_0075,35,r,,,york:900782
Abp_Reg_24_0076,35,v,,,york:900783
Abp_Reg_24_0077,36,r,,,york:900784
Abp_Reg_24_0078,36,v,,,york:900785
Abp_Reg_24_0079,37,r,,,york:900786
Abp_Reg_24_0080,37,v,,,york:900787
Abp_Reg_24_0081,38,r,,,york:900788
Abp_Reg_24_0082,38,v,,,york:900789
Abp_Reg_24_0083,39,r,,,york:900790
Abp_Reg_24_0084,39,v,,,york:900791
Abp_Reg_24_0085,40,r,,,york:900792
Abp_Reg_24_0086,40,v,,,york:900793
Abp_Reg_24_0087,41,r,,,york:900794
Abp_Reg_24_0088,41,v,,,york:900795
Abp_Reg_24_0089,42,r,,,york:900796
Abp_Reg_24_0090,42,v,,,york:900797
Abp_Reg_24_0091,43,r,,,york:900798
Abp_Reg_24_0092,43,v,,,york:900799
Abp_Reg_24_0093,44,r,,,york:900800
Abp_Reg_24_0094,44,v,,,york:900801
Abp_Reg_24_0095,45,r,,,york:900802
Abp_Reg_24_0096,45,v,,,york:900803
Abp_Reg_24_0097,46,r,,,york:900804
Abp_Reg_24_0098,46,v,,,york:900805
Abp_Reg_24_0099,47,r,,,york:900806
Abp_Reg_24_0100,47,v,,,york:900807
Abp_Reg_24_0101,48,r,,,york:900808
Abp_Reg_24_0102,48,v,,,york:900809
Abp_Reg_24_0103,49,r,,,york:900810
Abp_Reg_24_0104,49,v,,,york:900811
Abp_Reg_24_0105,50,r,,,york:900812
Abp_Reg_24_0106,50,v,,,york:900813
Abp_Reg_24_0107,51,r,,,york:900814
Abp_Reg_24_0108,51,v,,,york:900815
Abp_Reg_24_0109,52,r,,,york:900816
Abp_Reg_24_0110,52,v,,,york:900817
Abp_Reg_24_0111,53,r,,,york:900818
Abp_Reg_24_0112,53,v,,,york:900819
Abp_Reg_24_0113,54,r,,,york:900820
Abp_Reg_24_0114,54,v,,,york:900821
Abp_Reg_24_0115,55,r,,,york:900822
Abp_Reg_24_0116,55,v,,,york:900823
Abp_Reg_24_0117,56,r,,,york:900824
Abp_Reg_24_0118,56,v,,,york:900825
Abp_Reg_24_0119,57,r,,,york:900826
Abp_Reg_24_0120,57,v,,,york:900827
Abp_Reg_24_0121,58,r,,,york:900828
Abp_Reg_24_0122,58,v,,,york:900829
Abp_Reg_24_0123,59,r,,,york:900830
Abp_Reg_24_0124,59,v,,,york:900831
Abp_Reg_24_0125,59A,r,Paper,,york:900832
Abp_Reg_24_0126,59A,v,Paper,,york:900833
Abp_Reg_24_0127,60,r,,,york:900834
Abp_Reg_24_0128,60,v,,,york:900835
Abp_Reg_24_0129,61,r,,,york:900836
Abp_Reg_24_0130,61,v,,,york:900837
Abp_Reg_24_0131,62,r,,,york:900838
Abp_Reg_24_0132,62,v,,,york:900839
Abp_Reg_24_0133,63,r,,,york:900840
Abp_Reg_24_0134,63,v,,,york:900841
Abp_Reg_24_0135,64,r,,,york:900842
Abp_Reg_24_0136,64,v,,,york:900843
Abp_Reg_24_0137,65,r,,,york:900844
Abp_Reg_24_0138,65,v,,,york:900845
Abp_Reg_24_0139,66,r,,,york:900846
Abp_Reg_24_0140,66,v,,,york:900847
Abp_Reg_24_0141,67,r,,,york:900848
Abp_Reg_24_0142,67,v,,,york:900849
Abp_Reg_24_0143,68,r,,,york:900850
Abp_Reg_24_0144,68,v,,,york:900851
Abp_Reg_24_0145,69,r,,,york:900852
Abp_Reg_24_0146,69,v,,,york:900853
Abp_Reg_24_0147,70,r,,,york:900854
Abp_Reg_24_0148,70,v,,,york:900855
Abp_Reg_24_0149,71,r,,,york:900856
Abp_Reg_24_0150,71,v,,,york:900857
Abp_Reg_24_0151,72,r,,,york:900858
Abp_Reg_24_0152,72,v,,,york:900859
Abp_Reg_24_0153,73,r,,,york:900860
Abp_Reg_24_0154,73,v,,,york:900861
Abp_Reg_24_0155,74,r,,,york:900862
Abp_Reg_24_0156,74,v,,,york:900863
Abp_Reg_24_0157,75,r,,,york:900864
Abp_Reg_24_0158,75,v,,,york:900865
Abp_Reg_24_0159,76,r,,,york:900866
Abp_Reg_24_0160,76,v,,,york:900867
Abp_Reg_24_0161,77,r,,,york:900868
Abp_Reg_24_0162,77,v,,,york:900869
Abp_Reg_24_0163,78,r,,,york:900870
Abp_Reg_24_0164,78,v,,,york:900871
Abp_Reg_24_0165,79,r,,,york:900872
Abp_Reg_24_0166,79,v,,,york:900873
Abp_Reg_24_0167,80,r,,,york:900874
Abp_Reg_24_0168,80,v,,,york:900875
Abp_Reg_24_0169,81,r,,,york:900876
Abp_Reg_24_0170,81,v,,,york:900877
Abp_Reg_24_0171,82,r,,,york:900878
Abp_Reg_24_0172,82,v,,,york:900879
Abp_Reg_24_0173,83,r,,,york:900880
Abp_Reg_24_0174,83,v,,,york:900881
Abp_Reg_24_0175,84,r,,,york:900882
Abp_Reg_24_0176,84,v,,,york:900883
Abp_Reg_24_0177,85,r,,,york:900884
Abp_Reg_24_0178,85,v,,,york:900885
Abp_Reg_24_0179,86,r,,,york:900886
Abp_Reg_24_0180,86,v,,,york:900887
Abp_Reg_24_0181,87,r,,,york:900888
Abp_Reg_24_0182,87,v,,,york:900889
Abp_Reg_24_0183,,,Back flyleaf 2 (recto); Paper,,york:900890
Abp_Reg_24_0184,,,Back flyleaf 2 (verso); Paper,,york:900891
Abp_Reg_24_0185,,,Back flyleaf 1 (recto); Paper,,york:900892
Abp_Reg_24_0186,,,Back flyleaf 1 (verso); Paper,,york:900893
Abp_Reg_24_0187,,,Pastedown on inside of back board; Paper,,york:900894
Abp_Reg_24_0188,,,Outside of back board,,york:900895
Abp_Reg_24_2000,,,Colour reference image,,york:900896
