Image,Folio,Recto/Verso,Notes,UV,PID
Abp_Reg_19_0001,,,Outside of front board,,york:904491
Abp_Reg_19_0002,,,Pastedown on inside of front board; Paper,,york:904492
Abp_Reg_19_0003,,,Front flyleaf (recto); Paper,,york:904493
Abp_Reg_19_0004,,,Front flyleaf (verso); Paper,,york:904494
Abp_Reg_19_0005,i,r,,,york:904495
Abp_Reg_19_0006,i,v,,,york:904496
Abp_Reg_19_0007,ii,r,,,york:904497
Abp_Reg_19_0008,i,v,Guard,,york:904498
Abp_Reg_19_0009,ii,r,Guard,,york:904499
Abp_Reg_19_0010,i,v,Guard,,york:904500
Abp_Reg_19_0011,ii,r,Guard,,york:904501
Abp_Reg_19_0012,ii,v,,,york:904502
Abp_Reg_19_0013,iii,r,Index,,york:904503
Abp_Reg_19_0014,iii,v,Index,,york:904504
Abp_Reg_19_0015,iv,r,Index,,york:904505
Abp_Reg_19_0016,iv,v,Index,,york:904506
Abp_Reg_19_0017,v,r,Index,,york:904507
Abp_Reg_19_0018,v,v,Index,,york:904508
Abp_Reg_19_0019,vi,r,Index,,york:904509
Abp_Reg_19_0020,vi,v,Index,,york:904510
Abp_Reg_19_0021,vii,r,Index,,york:904511
Abp_Reg_19_0022,vii,v,Index,,york:904512
Abp_Reg_19_0023,viii,r,Index,,york:904513
Abp_Reg_19_0024,viii,v,Index,,york:904514
Abp_Reg_19_0025,ix,r,,,york:904515
Abp_Reg_19_0026,ix,v,,,york:904516
Abp_Reg_19_0027,1,r,,,york:904517
Abp_Reg_19_0028,1,v,,,york:904518
Abp_Reg_19_0029,2,r,,,york:904519
Abp_Reg_19_0030,2,v,,,york:904520
Abp_Reg_19_0031,3,r,,,york:904521
Abp_Reg_19_0032,3,v,,,york:904522
Abp_Reg_19_0033,4,r,,,york:904523
Abp_Reg_19_0034,4,v,,,york:904524
Abp_Reg_19_0035,5,r,,,york:904525
Abp_Reg_19_0036,5,v,,,york:904526
Abp_Reg_19_0037,6,r,,,york:904527
Abp_Reg_19_0038,6,v,,,york:904528
Abp_Reg_19_0039,7,r,,,york:904529
Abp_Reg_19_0040,7,v,,,york:904530
Abp_Reg_19_0041,8,r,,,york:904531
Abp_Reg_19_0042,8,v,,,york:904532
Abp_Reg_19_0043,9,r,,,york:904533
Abp_Reg_19_0044,9,v,,,york:904534
Abp_Reg_19_0045,10,r,,,york:904535
Abp_Reg_19_0046,10,v,,,york:904536
Abp_Reg_19_0047,11,r,,,york:904537
Abp_Reg_19_0048,11,v,,,york:904538
Abp_Reg_19_0049,12,r,,,york:904539
Abp_Reg_19_0050,12,v,,,york:904540
Abp_Reg_19_0051,13,r,,,york:904541
Abp_Reg_19_0052,13,v,,,york:904542
Abp_Reg_19_0053,14,r,,,york:904543
Abp_Reg_19_0054,14,v,,,york:904544
Abp_Reg_19_0055,15,r,,,york:904545
Abp_Reg_19_0056,15,v,,,york:904546
Abp_Reg_19_0057,16,r,,,york:904547
Abp_Reg_19_0058,16,v,,,york:904548
Abp_Reg_19_0059,17,r,,,york:904549
Abp_Reg_19_0060,17,v,,,york:904550
Abp_Reg_19_0061,18,r,,,york:904551
Abp_Reg_19_0062,18,v,,,york:904552
Abp_Reg_19_0063,20,r,No folio 19,,york:904553
Abp_Reg_19_0064,20,v,,,york:904554
Abp_Reg_19_0065,21,r,,,york:904555
Abp_Reg_19_0066,21,v,,,york:904556
Abp_Reg_19_0067,22,r,,,york:904557
Abp_Reg_19_0068,22,v,,,york:904558
Abp_Reg_19_0069,23,r,,,york:904559
Abp_Reg_19_0070,23,v,,,york:904560
Abp_Reg_19_0071,24,r,,,york:904561
Abp_Reg_19_0072,24,v,,,york:904562
Abp_Reg_19_0073,25,r,,,york:904563
Abp_Reg_19_0074,25,v,,,york:904564
Abp_Reg_19_0075,26,r,,,york:904565
Abp_Reg_19_0076,26,v,,,york:904566
Abp_Reg_19_0077,27,r,,,york:904567
Abp_Reg_19_0078,27,v,,,york:904568
Abp_Reg_19_0079,28,r,,,york:904569
Abp_Reg_19_0080,28,v,,,york:904570
Abp_Reg_19_0081,29,r,,,york:904571
Abp_Reg_19_0082,29,v,,,york:904572
Abp_Reg_19_0083,30,r,,,york:904573
Abp_Reg_19_0084,30,v,,,york:904574
Abp_Reg_19_0085,31,r,,,york:904575
Abp_Reg_19_0086,31,v,,,york:904576
Abp_Reg_19_0087,32,r,,,york:904577
Abp_Reg_19_0088,32,v,,,york:904578
Abp_Reg_19_0089,33,r,,,york:904579
Abp_Reg_19_0090,33,v,,,york:904580
Abp_Reg_19_0091,34,r,,,york:904581
Abp_Reg_19_0092,34,v,,,york:904582
Abp_Reg_19_0093,35,r,,,york:904583
Abp_Reg_19_0094,35,v,,,york:904584
Abp_Reg_19_0095,36,r,,,york:904585
Abp_Reg_19_0096,36,v,,,york:904586
Abp_Reg_19_0097,37,r,,,york:904587
Abp_Reg_19_0098,37,v,,,york:904588
Abp_Reg_19_0099,38,r,,,york:904589
Abp_Reg_19_0100,38,v,,,york:904590
Abp_Reg_19_0101,39,r,,,york:904591
Abp_Reg_19_0102,39,v,,,york:904592
Abp_Reg_19_0103,40,r,,,york:904593
Abp_Reg_19_0104,40,v,,,york:904594
Abp_Reg_19_0105,41,r,,,york:904595
Abp_Reg_19_0106,41,v,,,york:904596
Abp_Reg_19_0107,42,r,,,york:904597
Abp_Reg_19_0108,42,v,,,york:904598
Abp_Reg_19_0109,43,r,,,york:904599
Abp_Reg_19_0110,43,v,,,york:904600
Abp_Reg_19_0111,44,r,,,york:904601
Abp_Reg_19_0112,44,v,,,york:904602
Abp_Reg_19_0113,45,r,,,york:904603
Abp_Reg_19_0114,45,v,,,york:904604
Abp_Reg_19_0115,47,r,No folio 46,,york:904605
Abp_Reg_19_0116,47,v,,,york:904606
Abp_Reg_19_0117,48,r,,,york:904607
Abp_Reg_19_0118,48,v,,,york:904608
Abp_Reg_19_0119,49,r,,,york:904609
Abp_Reg_19_0120,49,v,,,york:904610
Abp_Reg_19_0121,50,r,,,york:904611
Abp_Reg_19_0122,50,v,,,york:904612
Abp_Reg_19_0123,51,r,,,york:904613
Abp_Reg_19_0124,51,v,,,york:904614
Abp_Reg_19_0125,52,r,,,york:904615
Abp_Reg_19_0126,52,v,,,york:904616
Abp_Reg_19_0127,53,r,,,york:904617
Abp_Reg_19_0128,53,v,,,york:904618
Abp_Reg_19_0129,54,r,,,york:904619
Abp_Reg_19_0130,54,v,,,york:904620
Abp_Reg_19_0131,55,r,,,york:904621
Abp_Reg_19_0132,55,v,,,york:904622
Abp_Reg_19_0133,56,r,,,york:904623
Abp_Reg_19_0134,56,v,,,york:904624
Abp_Reg_19_0135,57,r,,,york:904625
Abp_Reg_19_0136,57,v,,,york:904626
Abp_Reg_19_0137,58,r,,,york:904627
Abp_Reg_19_0138,58,v,,,york:904628
Abp_Reg_19_0139,59,r,,,york:904629
Abp_Reg_19_0140,59,v,,,york:904630
Abp_Reg_19_0141,60,r,,,york:904631
Abp_Reg_19_0142,60,v,,,york:904632
Abp_Reg_19_0143,61,r,,,york:904633
Abp_Reg_19_0144,61,v,,,york:904634
Abp_Reg_19_0145,62,r,,,york:904635
Abp_Reg_19_0146,62,v,,,york:904636
Abp_Reg_19_0147,63,r,,,york:904637
Abp_Reg_19_0148,63,v,,,york:904638
Abp_Reg_19_0149,64,r,,,york:904639
Abp_Reg_19_0150,64,v,,,york:904640
Abp_Reg_19_0151,65,r,,,york:904641
Abp_Reg_19_0152,65,v,,,york:904642
Abp_Reg_19_0153,66,r,,,york:904643
Abp_Reg_19_0154,66,v,,,york:904644
Abp_Reg_19_0155,67,r,,,york:904645
Abp_Reg_19_0156,67,v,,,york:904646
Abp_Reg_19_0157,68,r,,,york:904647
Abp_Reg_19_0158,68,v,,,york:904648
Abp_Reg_19_0159,69,r,,,york:904649
Abp_Reg_19_0160,69,v,,,york:904650
Abp_Reg_19_0161,70,r,,,york:904651
Abp_Reg_19_0162,70,v,,,york:904652
Abp_Reg_19_0163,71,r,,,york:904653
Abp_Reg_19_0164,71,v,,,york:904654
Abp_Reg_19_0165,72,r,,,york:904655
Abp_Reg_19_0166,72,v,,,york:904656
Abp_Reg_19_0167,73,r,,,york:904657
Abp_Reg_19_0168,73,v,,,york:904658
Abp_Reg_19_0169,74,r,,,york:904659
Abp_Reg_19_0170,74,v,,,york:904660
Abp_Reg_19_0171,75,r,,,york:904661
Abp_Reg_19_0172,75,v,,,york:904662
Abp_Reg_19_0173,76,r,,,york:904663
Abp_Reg_19_0174,76,v,,,york:904664
Abp_Reg_19_0175,77,r,,,york:904665
Abp_Reg_19_0176,77,v,,,york:904666
Abp_Reg_19_0177,78,r,,,york:904667
Abp_Reg_19_0178,78,v,,,york:904668
Abp_Reg_19_0179,79,r,,,york:904669
Abp_Reg_19_0180,79,v,,,york:904670
Abp_Reg_19_0181,80,r,,,york:904671
Abp_Reg_19_0182,80,v,,,york:904672
Abp_Reg_19_0183,81,r,,,york:904673
Abp_Reg_19_0184,81,v,,,york:904674
Abp_Reg_19_0185,82,r,,,york:904675
Abp_Reg_19_0186,82,v,,,york:904676
Abp_Reg_19_0187,83,r,,,york:904677
Abp_Reg_19_0188,83,v,,,york:904678
Abp_Reg_19_0189,84,r,,,york:904679
Abp_Reg_19_0190,84,v,,,york:904680
Abp_Reg_19_0191,85,r,,,york:904681
Abp_Reg_19_0192,85,v,,,york:904682
Abp_Reg_19_0193,86,r,,,york:904683
Abp_Reg_19_0194,86,v,,,york:904684
Abp_Reg_19_0195,87,r,,,york:904685
Abp_Reg_19_0196,87,v,,,york:904686
Abp_Reg_19_0197,88,r,,,york:904687
Abp_Reg_19_0198,88,v,,,york:904688
Abp_Reg_19_0199,89,r,,,york:904689
Abp_Reg_19_0200,89,v,,,york:904690
Abp_Reg_19_0201,90,r,,,york:904691
Abp_Reg_19_0202,90,v,,,york:904692
Abp_Reg_19_0203,91,r,,,york:904693
Abp_Reg_19_0204,91,v,,,york:904694
Abp_Reg_19_0205,92,r,,,york:904695
Abp_Reg_19_0206,92,v,,,york:904696
