Image,folio,recto/verso,Notes,Part,UV,PID
Inst_AB_02_0494,117,v,,Part iii,,york:907758
Inst_AB_02_0495,118,r,,Part iii,,york:907759
Inst_AB_02_0496,118,v,,Part iii,,york:907760
Inst_AB_02_0497,119,r,,Part iii,,york:907761
Inst_AB_02_0498,119,v,,Part iii,,york:907762
Inst_AB_02_0499,120,r,,Part iii,,york:907763
Inst_AB_02_0500,120,v,,Part iii,,york:907764
Inst_AB_02_0501,121,r,,Part iii,,york:907765
Inst_AB_02_0502,121,v,,Part iii,,york:907766
Inst_AB_02_0503,122,r,,Part iii,,york:907767
Inst_AB_02_0504,122,v,,Part iii,,york:907768
Inst_AB_02_0505,123,r,,Part iii,,york:907769
Inst_AB_02_0506,123,v,,Part iii,,york:907770
Inst_AB_02_0507,124,r,,Part iii,,york:907771
Inst_AB_02_0508,124,v,,Part iii,,york:907772
Inst_AB_02_0509,125,r,,Part iii,,york:907773
Inst_AB_02_0510,125,v,,Part iii,,york:907774
Inst_AB_02_0511,126,r,,Part iii,,york:907775
Inst_AB_02_0512,126,v,,Part iii,,york:907776
Inst_AB_02_0513,127,r,,Part iii,,york:907777
Inst_AB_02_0514,127,v,,Part iii,,york:907778
Inst_AB_02_0515,128,r,,Part iii,,york:907779
Inst_AB_02_0516,128,v,,Part iii,,york:907780
Inst_AB_02_0517,129,r,,Part iii,,york:907781
Inst_AB_02_0518,129,v,,Part iii,,york:907782
Inst_AB_02_0519,130,r,,Part iii,,york:907783
Inst_AB_02_0520,130,v,,Part iii,,york:907784
Inst_AB_02_0521,131,r,,Part iii,,york:907785
Inst_AB_02_0522,131,v,,Part iii,,york:907786
Inst_AB_02_0523,132,r,,Part iii,,york:907787
Inst_AB_02_0524,132,v,,Part iii,,york:907788
Inst_AB_02_0525,133,r,,Part iii,,york:907789
Inst_AB_02_0526,133,v,,Part iii,,york:907790
Inst_AB_02_0527,134,r,,Part iii,,york:907791
Inst_AB_02_0528,134,v,,Part iii,,york:907792
Inst_AB_02_0529,135,r,,Part iii,,york:907793
Inst_AB_02_0530,135,v,,Part iii,,york:907794
Inst_AB_02_0531,136,r,,Part iii,,york:907795
Inst_AB_02_0532,136,v,,Part iii,,york:907796
Inst_AB_02_0533,137,r,,Part iii,,york:907797
Inst_AB_02_0534,137,v,,Part iii,,york:907798
Inst_AB_02_0535,138,r,,Part iii,,york:907799
Inst_AB_02_0536,138,v,,Part iii,,york:907800
Inst_AB_02_0537,139,r,,Part iii,,york:907801
Inst_AB_02_0538,139,v,,Part iii,,york:907802
Inst_AB_02_0539,140,r,,Part iii,,york:907803
Inst_AB_02_0540,140,v,,Part iii,,york:907804
Inst_AB_02_0541,141,r,,Part iii,,york:907805
Inst_AB_02_0542,141,v,,Part iii,,york:907806
Inst_AB_02_0543,142,r,,Part iii,,york:907807
Inst_AB_02_0544,142,v,,Part iii,,york:907808
Inst_AB_02_0545,143,r,,Part iii,,york:907809
Inst_AB_02_0546,143,v,,Part iii,,york:907810
Inst_AB_02_0547,144,r,,Part iii,,york:907811
Inst_AB_02_0548,144,v,,Part iii,,york:907812
Inst_AB_02_0549,145,r,,Part iii,,york:907813
Inst_AB_02_0550,145,v,,Part iii,,york:907814
Inst_AB_02_0551,146,r,,Part iii,,york:907815
Inst_AB_02_0552,146,v,,Part iii,,york:907816
Inst_AB_02_0553,147,r,,Part iii,,york:907817
Inst_AB_02_0554,147,v,,Part iii,,york:907818
Inst_AB_02_0555,148,r,,Part iii,,york:907819
Inst_AB_02_0556,148,v,,Part iii,,york:907820
Inst_AB_02_0557,149,r,,Part iii,,york:907821
Inst_AB_02_0558,149,v,,Part iii,,york:907822
Inst_AB_02_0559,150,r,,Part iii,,york:907823
Inst_AB_02_0560,150,v,,Part iii,,york:907824
Inst_AB_02_0561,151,r,,Part iii,,york:907825
Inst_AB_02_0562,151,v,,Part iii,,york:907826
Inst_AB_02_0563,152,r,Guard,Part iii,,york:907827
Inst_AB_02_0564,151,v,Guard,Part iii,,york:907828
Inst_AB_02_0565,152,r,,Part iii,,york:907829
Inst_AB_02_0566,152,v,,Part iii,,york:907830
Inst_AB_02_0567,153,r,,Part iii,,york:907831
Inst_AB_02_0568,153,v,,Part iii,,york:907832
Inst_AB_02_0569,154,r,,Part iii,,york:907833
Inst_AB_02_0570,154,v,,Part iii,,york:907834
Inst_AB_02_0571,155,r,,Part iii,,york:907835
Inst_AB_02_0572,155,v,,Part iii,,york:907836
Inst_AB_02_0573,156,r,,Part iii,,york:907837
Inst_AB_02_0574,156,v,,Part iii,,york:907838
Inst_AB_02_0575,157,r,,Part iii,,york:907839
Inst_AB_02_0576,157,v,,Part iii,,york:907840
Inst_AB_02_0577,158,r,,Part iii,,york:907841
Inst_AB_02_0578,158,v,,Part iii,,york:907842
Inst_AB_02_0579,159,r,,Part iii,,york:907843
Inst_AB_02_0580,159,v,,Part iii,,york:907844
Inst_AB_02_0581,160,r,,Part iii,,york:907845
Inst_AB_02_0582,160,v,,Part iii,,york:907846
Inst_AB_02_0583,161,r,,Part iii,,york:907847
Inst_AB_02_0584,161,v,,Part iii,,york:907848
Inst_AB_02_0585,162,r,,Part iii,,york:907849
Inst_AB_02_0586,162,v,,Part iii,,york:907850
Inst_AB_02_0587,163,r,,Part iii,,york:907851
Inst_AB_02_0588,163,v,,Part iii,,york:907852
Inst_AB_02_0589,164,r,,Part iii,,york:907853
Inst_AB_02_0590,164,v,,Part iii,,york:907854
Inst_AB_02_0591,165,r,,Part iii,,york:907855
Inst_AB_02_0592,165,v,,Part iii,,york:907856
Inst_AB_02_0593,166,r,,Part iii,,york:907857
Inst_AB_02_0594,166,v,,Part iii,,york:907858
Inst_AB_02_0595,167,r,,Part iii,,york:907859
Inst_AB_02_0596,167,v,,Part iii,,york:907860
Inst_AB_02_0597,168,r,,Part iii,,york:907861
Inst_AB_02_0598,168,v,,Part iii,,york:907862
Inst_AB_02_0599,169,r,,Part iii,,york:907863
Inst_AB_02_0600,169,v,,Part iii,,york:907864
Inst_AB_02_0601,170,r,,Part iii,,york:907865
Inst_AB_02_0602,170,v,,Part iii,,york:907866
Inst_AB_02_0603,171,r,,Part iii,,york:907867
Inst_AB_02_0604,171,v,,Part iii,,york:907868
Inst_AB_02_0605,172,r,,Part iii,,york:907869
Inst_AB_02_0606,172,v,,Part iii,,york:907870
Inst_AB_02_0607,173,r,,Part iii,,york:907871
Inst_AB_02_0608,173,v,,Part iii,,york:907872
Inst_AB_02_0609,174,r,,Part iii,,york:907873
Inst_AB_02_0610,174,v,,Part iii,,york:907874
Inst_AB_02_0611,175,r,,Part iii,,york:907875
Inst_AB_02_0612,175,v,,Part iii,,york:907876
Inst_AB_02_0613,176,r,,Part iii,,york:907877
Inst_AB_02_0614,176,v,,Part iii,,york:907878
Inst_AB_02_0615,177,r,,Part iii,,york:907879
Inst_AB_02_0616,177,v,,Part iii,,york:907880
Inst_AB_02_0617,178,r,,Part iii,,york:907881
Inst_AB_02_0618,178,v,,Part iii,,york:907882
Inst_AB_02_0619,179,r,,Part iii,,york:907883
Inst_AB_02_0620,179,v,,Part iii,,york:907884
Inst_AB_02_0621,,,Inside of back cover of contemporary limp parchment case,Part iii,,york:907885
Inst_AB_02_0622,,,Outside of back cover of contemporary limp parchment case,Part iii,,york:907886
Inst_AB_02_0623,,,Back flyleaf 2 (recto),,,york:907887
Inst_AB_02_0624,,,Back flyleaf 2 (verso),,,york:907888
Inst_AB_02_0625,,,Back flyleaf 1 (recto),,,york:907889
Inst_AB_02_0626,,,Back flyleaf 1 (verso),,,york:907890
Inst_AB_02_0627,,,Pastedown on inside of back board,,,york:907891
Inst_AB_02_0628,,,Outside of back board,,,york:907892
Inst_AB_02_2000,,,Colour reference image,,,york:907893
