Image,Folio,Recto/Verso,Notes,UV
Abp_Reg_31_0001,,,Outside of front board,
Abp_Reg_31_0002,,,Pastedown on inside of front board and pocket attached to inside of front board holding indices; Paper,
Abp_Reg_31_0003,i,r,"Index, Paper",
Abp_Reg_31_0004,i,v,"Index, Paper",
Abp_Reg_31_0005,ii,r,"Index, Paper",
Abp_Reg_31_0006,ii,v,"Index, Paper",
Abp_Reg_31_0007,iii,r,"Index, Paper",
Abp_Reg_31_0008,iii,v,"Index, Paper",
Abp_Reg_31_0009,iv,r,"Index, Paper",
Abp_Reg_31_0010,iv,v,"Index, Paper",
Abp_Reg_31_0011,,,Front flyleaf 1 (recto); Paper,
Abp_Reg_31_0012,,,Front flyleaf 1 (verso); Paper,
Abp_Reg_31_0013,,,Front flyleaf 2 (recto); Paper,
Abp_Reg_31_0014,,,Front flyleaf 2 (verso); Paper,
Abp_Reg_31_0015,,,Contemporary front flyleaf 1 (recto),
Abp_Reg_31_0016,,,Contemporary front flyleaf 1 (verso),
Abp_Reg_31_0017,,,Contemporary front flyleaf 2 (recto),
Abp_Reg_31_0018,,,Contemporary front flyleaf 2 (recto),UV
Abp_Reg_31_0019,,,Contemporary front flyleaf 2 (verso),
Abp_Reg_31_0020,,,Contemporary front flyleaf 3 (recto),
Abp_Reg_31_0021,,,Contemporary front flyleaf 3 (verso),
Abp_Reg_31_0022,,,Contemporary front flyleaf 4 (recto),
Abp_Reg_31_0023,,,Contemporary front flyleaf 4 (verso),
Abp_Reg_31_0152,64,v,,
Abp_Reg_31_0153,65,r,,
Abp_Reg_31_0154,65,v,,
Abp_Reg_31_0155,66,r,,
Abp_Reg_31_0156,66,v,,
Abp_Reg_31_0157,67,r,,
Abp_Reg_31_0158,67,v,,
Abp_Reg_31_0159,68,r,,
Abp_Reg_31_0160,68,v,,
Abp_Reg_31_0161,69,r,,
Abp_Reg_31_0162,69,v,,
Abp_Reg_31_0163,70,r,,
Abp_Reg_31_0164,70,v,,
Abp_Reg_31_0165,71,r,,
Abp_Reg_31_0166,71,v,,
Abp_Reg_31_0167,72,r,,
Abp_Reg_31_0168,72,v,,
Abp_Reg_31_0169,73,r,,
Abp_Reg_31_0170,73,v,,
Abp_Reg_31_0171,74,r,,
Abp_Reg_31_0172,74,v,,
Abp_Reg_31_0173,75,r,,
Abp_Reg_31_0174,75,v,,
Abp_Reg_31_0175,76,r,,
Abp_Reg_31_0176,76,v,,
Abp_Reg_31_0177,77,r,,
Abp_Reg_31_0178,77,v,,
Abp_Reg_31_0179,78,r,,
Abp_Reg_31_0180,78,v,,
Abp_Reg_31_0181,79,r,,
Abp_Reg_31_0182,79,v,,
Abp_Reg_31_0183,80,r,,
Abp_Reg_31_0184,80,v,,
Abp_Reg_31_0185,81,r,,
Abp_Reg_31_0186,81,v,,
Abp_Reg_31_0187,82,r,,
Abp_Reg_31_0188,82,v,,
Abp_Reg_31_0189,83,r,,
Abp_Reg_31_0190,83,v,,
Abp_Reg_31_0191,84,r,,
Abp_Reg_31_0192,84,v,,
Abp_Reg_31_0193,85,r,,
Abp_Reg_31_0194,85,v,,
Abp_Reg_31_0195,86,r,,
Abp_Reg_31_0196,86,v,,
Abp_Reg_31_0197,87,r,,
Abp_Reg_31_0198,87,v,,
Abp_Reg_31_0199,88,r,,
Abp_Reg_31_0200,88,v,,
Abp_Reg_31_0201,89,r,,
Abp_Reg_31_0202,89,v,,
Abp_Reg_31_0203,90,r,,
Abp_Reg_31_0204,90,v,,
Abp_Reg_31_0205,91,r,,
Abp_Reg_31_0206,91,v,,
Abp_Reg_31_0207,92,r,,
Abp_Reg_31_0208,92,v,,
Abp_Reg_31_0209,93,r,,
Abp_Reg_31_0210,93,v,,
Abp_Reg_31_0211,94,r,,
Abp_Reg_31_0212,94,v,,
Abp_Reg_31_0213,95,r,,
Abp_Reg_31_0214,95,v,,
Abp_Reg_31_0215,96,r,,
Abp_Reg_31_0216,96,v,,
Abp_Reg_31_0217,97,r,,
Abp_Reg_31_0218,97,v,,
Abp_Reg_31_0219,98,r,,
Abp_Reg_31_0220,98,v,,
Abp_Reg_31_0221,99,r,,
Abp_Reg_31_0222,99,v,,
Abp_Reg_31_0223,100,r,,
Abp_Reg_31_0224,100,v,,
Abp_Reg_31_0225,101,r,,
Abp_Reg_31_0226,101,v,,
Abp_Reg_31_0227,102,r,,
Abp_Reg_31_0228,102,v,,
Abp_Reg_31_0229,103,r,,
Abp_Reg_31_0230,103,v,,
Abp_Reg_31_0231,104,r,,
Abp_Reg_31_0232,104,v,,
Abp_Reg_31_0233,105,r,,
Abp_Reg_31_0234,105,v,,
Abp_Reg_31_0235,106,r,,
Abp_Reg_31_0236,106,v,,
Abp_Reg_31_0237,107,r,,
Abp_Reg_31_0238,107,v,,
Abp_Reg_31_0239,108,r,,
Abp_Reg_31_0240,108,v,,
Abp_Reg_31_0241,109,r,,
Abp_Reg_31_0242,109,v,,
Abp_Reg_31_0243,110,r,,
Abp_Reg_31_0244,110,v,,
Abp_Reg_31_0245,111,r,,
Abp_Reg_31_0246,111,v,,
Abp_Reg_31_0247,112,r,,
Abp_Reg_31_0248,112,v,,
Abp_Reg_31_0249,113,r,,
Abp_Reg_31_0250,113,v,,
Abp_Reg_31_0251,114,r,,
Abp_Reg_31_0252,114,v,,
Abp_Reg_31_0253,115,r,,
Abp_Reg_31_0254,115,v,,
Abp_Reg_31_0255,116,r,,
Abp_Reg_31_0256,116,v,,
Abp_Reg_31_0257,117,r,,
Abp_Reg_31_0258,117,v,,
Abp_Reg_31_0259,118,r,,
Abp_Reg_31_0260,118,v,,
Abp_Reg_31_0261,119,r,,
Abp_Reg_31_0262,119,v,,
Abp_Reg_31_0263,120,r,,
Abp_Reg_31_0264,120,v,,
Abp_Reg_31_0265,121,r,,
Abp_Reg_31_0266,121,v,,
Abp_Reg_31_0267,122,r,,
Abp_Reg_31_0268,122,v,,
Abp_Reg_31_0269,123,r,,
Abp_Reg_31_0270,123,v,,
Abp_Reg_31_0271,124,r,,
Abp_Reg_31_0272,124,v,,
Abp_Reg_31_0273,125,r,,
Abp_Reg_31_0274,125,v,,
Abp_Reg_31_0275,126,r,,
Abp_Reg_31_0276,126,v,,
Abp_Reg_31_0277,127,r,,
Abp_Reg_31_0278,127,v,,
Abp_Reg_31_0279,128,r,,
Abp_Reg_31_0280,128,v,,
Abp_Reg_31_0281,129,r,,
Abp_Reg_31_0282,129,v,,
Abp_Reg_31_0283,130,r,,
Abp_Reg_31_0284,130,v,,
Abp_Reg_31_0285,131,r,,
Abp_Reg_31_0286,131,v,,
Abp_Reg_31_0287,132,r,,
Abp_Reg_31_0288,132,v,,
Abp_Reg_31_0289,133,r,,
Abp_Reg_31_0290,133,v,,
Abp_Reg_31_0291,134,r,,
Abp_Reg_31_0292,134,v,,
Abp_Reg_31_0293,135,r,,
Abp_Reg_31_0294,135,v,,
Abp_Reg_31_0295,136,r,,
