Image,folio,recto/verso,Notes,UV,PID
Abp_Reg_02_0001,,,Outside of trimmed front cover of contemporary limp parchment case,,york:892247
Abp_Reg_02_0002,,,Inside of trimmed front cover of contemporary limp parchment case,,york:892248
Abp_Reg_02_0003,,,Foredge label (recto),,york:892249
Abp_Reg_02_0004,,,Foredge label (verso),,york:892250
Abp_Reg_02_0005,i,r,Index; Paper,,york:892251
Abp_Reg_02_0006,i,v,Index; Paper,,york:892252
Abp_Reg_02_0007,ii,r,Index; Paper,,york:892253
Abp_Reg_02_0008,ii,v,Index; Paper,,york:892254
Abp_Reg_02_0009,iii,r,Index; Paper,,york:892255
Abp_Reg_02_0010,iii,v,Index; Paper,,york:892256
Abp_Reg_02_0011,iv,r,Index; Paper,,york:892257
Abp_Reg_02_0012,iv,v,Index; Paper,,york:892258
Abp_Reg_02_0013,v,r,Index; Paper,,york:892259
Abp_Reg_02_0014,v,v,Index; Paper,,york:892260
Abp_Reg_02_0015,vi,r,,,york:892261
Abp_Reg_02_0016,vi,v,,,york:892262
Abp_Reg_02_0017,vii,r,,,york:892263
Abp_Reg_02_0018,vii,v,,,york:892264
Abp_Reg_02_0019,1,r,,,york:892265
Abp_Reg_02_0020,1,v,,,york:892266
Abp_Reg_02_0021,2,r,,,york:892267
Abp_Reg_02_0022,2,v,,,york:892268
Abp_Reg_02_0023,3,r,,,york:892269
Abp_Reg_02_0024,3,v,,,york:892270
Abp_Reg_02_0025,4,r,,,york:892271
Abp_Reg_02_0026,4,v,,,york:892272
Abp_Reg_02_0027,5,r,,,york:892273
Abp_Reg_02_0028,5,v,,,york:892274
Abp_Reg_02_0029,6,r,,,york:892275
Abp_Reg_02_0030,6,v,,,york:892276
Abp_Reg_02_0031,7,r,,,york:892277
Abp_Reg_02_0032,7,v,,,york:892278
Abp_Reg_02_0033,8,r,,,york:892279
Abp_Reg_02_0034,8,v,,,york:892280
Abp_Reg_02_0035,9,r,,,york:892281
Abp_Reg_02_0036,9,v,,,york:892282
Abp_Reg_02_0037,10,r,,,york:892283
Abp_Reg_02_0038,10,v,,,york:892284
Abp_Reg_02_0039,11,r,,,york:892285
Abp_Reg_02_0040,11,v,,,york:892286
Abp_Reg_02_0041,12,r,,,york:892287
Abp_Reg_02_0042,12,v,,,york:892288
Abp_Reg_02_0043,13,r,,,york:892289
Abp_Reg_02_0044,13,v,,,york:892290
Abp_Reg_02_0045,14,r,,,york:892291
Abp_Reg_02_0046,14,v,,,york:892292
Abp_Reg_02_0047,15,r,,,york:892293
Abp_Reg_02_0048,15,v,,,york:892294
Abp_Reg_02_0049,16,r,,,york:892295
Abp_Reg_02_0050,16,v,,,york:892296
Abp_Reg_02_0051,17,r,,,york:892297
Abp_Reg_02_0052,17,v,,,york:892298
Abp_Reg_02_0053,18,r,,,york:892299
Abp_Reg_02_0054,18,v,,,york:892300
Abp_Reg_02_0055,19,r,,,york:892301
Abp_Reg_02_0056,19,v,,,york:892302
Abp_Reg_02_0057,20,r,,,york:892303
Abp_Reg_02_0058,20,v,,,york:892304
Abp_Reg_02_0059,21,r,,,york:892305
Abp_Reg_02_0060,21,v,,,york:892306
Abp_Reg_02_0061,22A,r,,,york:892307
Abp_Reg_02_0062,22A,v,,,york:892308
Abp_Reg_02_0063,22,r,,,york:892309
Abp_Reg_02_0064,22,v,,,york:892310
Abp_Reg_02_0065,23,r,,,york:892311
Abp_Reg_02_0066,23,v,,,york:892312
Abp_Reg_02_0067,24,r,,,york:892313
Abp_Reg_02_0068,24,v,,,york:892314
Abp_Reg_02_0069,25A,r,,,york:892315
Abp_Reg_02_0070,25A,v,,,york:892316
Abp_Reg_02_0071,25,r,,,york:892317
Abp_Reg_02_0072,25,v,,,york:892318
Abp_Reg_02_0073,26,r,,,york:892319
Abp_Reg_02_0074,26,v,,,york:892320
Abp_Reg_02_0075,27,r,,,york:892321
Abp_Reg_02_0076,27,v,,,york:892322
Abp_Reg_02_0077,28,r,,,york:892323
Abp_Reg_02_0078,28,v,,,york:892324
Abp_Reg_02_0079,29,r,,,york:892325
Abp_Reg_02_0080,29,v,,,york:892326
Abp_Reg_02_0081,30,r,,,york:892327
Abp_Reg_02_0082,30,v,,,york:892328
Abp_Reg_02_0083,31,r,,,york:892329
Abp_Reg_02_0084,31,v,,,york:892330
Abp_Reg_02_0085,32,r,,,york:892331
Abp_Reg_02_0086,32,v,,,york:892332
Abp_Reg_02_0087,33,r,,,york:892333
Abp_Reg_02_0088,33,v,,,york:892334
Abp_Reg_02_0089,34,r,,,york:892335
Abp_Reg_02_0090,34,v,,,york:892336
Abp_Reg_02_0091,35,r,,,york:892337
Abp_Reg_02_0092,35,v,,,york:892338
Abp_Reg_02_0093,36,r,,,york:892339
Abp_Reg_02_0094,36,v,,,york:892340
Abp_Reg_02_0095,37,r,,,york:892341
Abp_Reg_02_0096,37,v,,,york:892342
Abp_Reg_02_0097,38,r,,,york:892343
Abp_Reg_02_0098,38,v,,,york:892344
Abp_Reg_02_0099,39,r,,,york:892345
Abp_Reg_02_0100,39,v,,,york:892346
Abp_Reg_02_0101,40,r,,,york:892347
Abp_Reg_02_0102,40,v,,,york:892348
Abp_Reg_02_0103,41,r,,,york:892349
Abp_Reg_02_0104,41,v,,,york:892350
Abp_Reg_02_0105,42,r,,,york:892351
Abp_Reg_02_0106,42,v,,,york:892352
Abp_Reg_02_0107,43,r,,,york:892353
Abp_Reg_02_0108,43,v,,,york:892354
Abp_Reg_02_0109,44,r,,,york:892355
Abp_Reg_02_0110,44,v,,,york:892356
Abp_Reg_02_0111,45,r,,,york:892357
Abp_Reg_02_0112,45,v,,,york:892358
Abp_Reg_02_0113,46,r,,,york:892359
Abp_Reg_02_0114,46,v,,,york:892360
Abp_Reg_02_0115,47,r,,,york:892361
Abp_Reg_02_0116,47,v,,,york:892362
Abp_Reg_02_0117,48,r,,,york:892363
Abp_Reg_02_0118,48,v,,,york:892364
Abp_Reg_02_0119,49,r,,,york:892365
Abp_Reg_02_0120,49,v,,,york:892366
Abp_Reg_02_0121,50,r,,,york:892367
Abp_Reg_02_0122,50,v,,,york:892368
Abp_Reg_02_0123,51,r,,,york:892369
Abp_Reg_02_0124,51,v,,,york:892370
Abp_Reg_02_0125,52,r,,,york:892371
Abp_Reg_02_0126,52,v,,,york:892372
Abp_Reg_02_0127,53,r,,,york:892373
Abp_Reg_02_0128,53,v,,,york:892374
Abp_Reg_02_0129,54,r,,,york:892375
Abp_Reg_02_0130,54,v,,,york:892376
Abp_Reg_02_0131,55,r,,,york:892377
Abp_Reg_02_0132,55,v,,,york:892378
Abp_Reg_02_0133,56,r,,,york:892379
Abp_Reg_02_0134,56,v,,,york:892380
Abp_Reg_02_0135,57,r,,,york:892381
Abp_Reg_02_0136,57,v,,,york:892382
Abp_Reg_02_0137,58,r,,,york:892383
Abp_Reg_02_0138,58,v,,,york:892384
Abp_Reg_02_0139,59,r,,,york:892385
Abp_Reg_02_0140,59,v,,,york:892386
Abp_Reg_02_0141,60,r,,,york:892387
Abp_Reg_02_0142,60,v,,,york:892388
Abp_Reg_02_0143,61,r,,,york:892389
Abp_Reg_02_0144,61,v,,,york:892390
Abp_Reg_02_0145,62,r,,,york:892391
Abp_Reg_02_0146,62,v,,,york:892392
Abp_Reg_02_0147,63,r,,,york:892393
Abp_Reg_02_0148,63,v,,,york:892394
Abp_Reg_02_0149,64,r,,,york:892395
Abp_Reg_02_0150,64,v,,,york:892396
Abp_Reg_02_0151,65,r,,,york:892397
Abp_Reg_02_0152,65,v,,,york:892398
Abp_Reg_02_0153,66,r,,,york:892399
Abp_Reg_02_0154,66,v,,,york:892400
Abp_Reg_02_0155,67,r,,,york:892401
Abp_Reg_02_0156,67,v,,,york:892402
Abp_Reg_02_0157,68,r,,,york:892403
Abp_Reg_02_0158,68,v,,,york:892404
Abp_Reg_02_0159,69,r,,,york:892405
Abp_Reg_02_0160,69,v,,,york:892406
Abp_Reg_02_0161,70,r,,,york:892407
Abp_Reg_02_0162,70,v,,,york:892408
Abp_Reg_02_0163,71A,r,,,york:892409
Abp_Reg_02_0164,71A,v,,,york:892410
Abp_Reg_02_0165,71,r,,,york:892411
Abp_Reg_02_0166,71,v,,,york:892412
Abp_Reg_02_0167,72,r,,,york:892413
Abp_Reg_02_0168,72,v,,,york:892414
Abp_Reg_02_0169,73,r,,,york:892415
Abp_Reg_02_0170,73,v,,,york:892416
Abp_Reg_02_0171,74,r,,,york:892417
Abp_Reg_02_0172,74,v,,,york:892418
Abp_Reg_02_0173,75,r,,,york:892419
Abp_Reg_02_0174,75,v,,,york:892420
Abp_Reg_02_0175,76,r,,,york:892421
Abp_Reg_02_0176,76,v,,,york:892422
Abp_Reg_02_0177,77,r,,,york:892423
Abp_Reg_02_0178,77,v,,,york:892424
Abp_Reg_02_0179,78,r,,,york:892425
Abp_Reg_02_0180,78,v,,,york:892426
Abp_Reg_02_0181,79A,r,,,york:892427
Abp_Reg_02_0182,79A,v,,,york:892428
Abp_Reg_02_0183,79,r,,,york:892429
Abp_Reg_02_0184,79,v,,,york:892430
Abp_Reg_02_0185,80,r,,,york:892431
Abp_Reg_02_0186,80,v,,,york:892432
Abp_Reg_02_0187,81,r,,,york:892433
Abp_Reg_02_0188,81,v,,,york:892434
Abp_Reg_02_0189,82,r,,,york:892435
Abp_Reg_02_0190,82,v,,,york:892436
Abp_Reg_02_0191,83,r,,,york:892437
Abp_Reg_02_0192,83,v,,,york:892438
Abp_Reg_02_0193,84,r,,,york:892439
Abp_Reg_02_0194,84,v,,,york:892440
Abp_Reg_02_0195,85,r,,,york:892441
Abp_Reg_02_0196,85,v,,,york:892442
Abp_Reg_02_0197,86,r,,,york:892443
Abp_Reg_02_0198,86,v,,,york:892444
Abp_Reg_02_0199,87,r,,,york:892445
Abp_Reg_02_0200,87,v,,,york:892446
Abp_Reg_02_0201,88,r,Guard,,york:892447
Abp_Reg_02_0202,88,v,Guard,,york:892448
Abp_Reg_02_0203,89,r,,,york:892449
Abp_Reg_02_0204,89,v,,,york:892450
Abp_Reg_02_0205,90,r,,,york:892451
Abp_Reg_02_0206,90,v,,,york:892452
Abp_Reg_02_0207,91,r,,,york:892453
Abp_Reg_02_0208,91,v,,,york:892454
Abp_Reg_02_0209,92,v,,,york:892455
Abp_Reg_02_0210,92,r,,,york:892456
Abp_Reg_02_0211,92,v,,,york:892457
Abp_Reg_02_0212,92,v,,,york:892458
Abp_Reg_02_0213,93,r,,,york:892459
Abp_Reg_02_0214,93,v,,,york:892460
Abp_Reg_02_0215,93,r,,,york:892461
Abp_Reg_02_0216,93,v,,,york:892462
Abp_Reg_02_0217,94,r,,,york:892463
Abp_Reg_02_0218,94,v,,,york:892464
Abp_Reg_02_0219,95,r,,,york:892465
Abp_Reg_02_0220,95,v,,,york:892466
Abp_Reg_02_0221,96,r,,,york:892467
Abp_Reg_02_0222,96,v,,,york:892468
Abp_Reg_02_0223,97,r,,,york:892469
Abp_Reg_02_0224,97,v,,,york:892470
Abp_Reg_02_0225,98,r,,,york:892471
Abp_Reg_02_0226,98,v,,,york:892472
Abp_Reg_02_0227,99,r,,,york:892473
Abp_Reg_02_0228,99,v,,,york:892474
Abp_Reg_02_0229,100,r,Guard,,york:892475
Abp_Reg_02_0230,100,v,Guard,,york:892476
Abp_Reg_02_0231,100,r,,,york:892477
Abp_Reg_02_0232,100,v,,,york:892478
Abp_Reg_02_0233,101,r,,,york:892479
Abp_Reg_02_0234,101,v,,,york:892480
Abp_Reg_02_0235,102,r,,,york:892481
Abp_Reg_02_0236,102,v,,,york:892482
Abp_Reg_02_0237,103,r,,,york:892483
Abp_Reg_02_0238,103,v,,,york:892484
Abp_Reg_02_0239,104,r,,,york:892485
Abp_Reg_02_0240,104,v,,,york:892486
Abp_Reg_02_0241,105,r,,,york:892487
Abp_Reg_02_0242,105,v,,,york:892488
Abp_Reg_02_0243,105A,r,,,york:892489
Abp_Reg_02_0244,105A,v,,,york:892490
Abp_Reg_02_0245,106,r,,,york:892491
Abp_Reg_02_0246,106,v,,,york:892492
Abp_Reg_02_0247,107,r,,,york:892493
Abp_Reg_02_0248,107,v,,,york:892494
Abp_Reg_02_0249,108,r,,,york:892495
Abp_Reg_02_0250,108,v,,,york:892496
Abp_Reg_02_0251,109,r,,,york:892497
Abp_Reg_02_0252,109,v,,,york:892498
Abp_Reg_02_0253,109,v,,UV,york:892499
Abp_Reg_02_0254,110,r,,,york:892500
Abp_Reg_02_0255,110,r,,UV,york:892501
Abp_Reg_02_0256,110,v,,,york:892502
Abp_Reg_02_0257,111A,r,,,york:892503
Abp_Reg_02_0258,111A,v,,,york:892504
Abp_Reg_02_0259,111,r,,,york:892505
Abp_Reg_02_0260,111,v,,,york:892506
Abp_Reg_02_0261,112A,r,,,york:892507
Abp_Reg_02_0262,112A,v,,,york:892508
Abp_Reg_02_0263,112,r,,,york:892509
Abp_Reg_02_0264,112,v,,,york:892510
