Image,folio,recto/verso,Notes,UV,PID
Abp_Reg_26_0001,,,Outside of front board covered with front cover of contemporary limp parchment case,,york:900898
Abp_Reg_26_0002,,,Pastedown on inside of front board; Paper,,york:900899
Abp_Reg_26_0003,,,Front flyleaf 1 (recto); Paper,,york:900900
Abp_Reg_26_0004,,,Front flyleaf 1 (verso); Paper,,york:900901
Abp_Reg_26_0005,,,Front flyleaf 2 (recto); Paper,,york:900902
Abp_Reg_26_0006,,,Front flyleaf 2 (verso); Paper,,york:900903
Abp_Reg_26_0007,1,r,,,york:900904
Abp_Reg_26_0008,1,v,,,york:900905
Abp_Reg_26_0009,2,r,,,york:900906
Abp_Reg_26_0010,2,v,,,york:900907
Abp_Reg_26_0011,3,r,,,york:900908
Abp_Reg_26_0012,3,v,,,york:900909
Abp_Reg_26_0013,4,r,,,york:900910
Abp_Reg_26_0014,4,v,,,york:900911
Abp_Reg_26_0015,5,r,,,york:900912
Abp_Reg_26_0016,5,v,,,york:900913
Abp_Reg_26_0017,6,r,,,york:900914
Abp_Reg_26_0018,6,v,,,york:900915
Abp_Reg_26_0019,7,r,,,york:900916
Abp_Reg_26_0020,7,v,,,york:900917
Abp_Reg_26_0021,8,r,,,york:900918
Abp_Reg_26_0022,8,v,,,york:900919
Abp_Reg_26_0023,9,r,,,york:900920
Abp_Reg_26_0024,9,v,,,york:900921
Abp_Reg_26_0025,10,r,,,york:900922
Abp_Reg_26_0026,10,v,,,york:900923
Abp_Reg_26_0027,11,r,,,york:900924
Abp_Reg_26_0028,11,v,,,york:900925
Abp_Reg_26_0029,12,r,,,york:900926
Abp_Reg_26_0030,12,v,,,york:900927
Abp_Reg_26_0031,13,r,,,york:900928
Abp_Reg_26_0032,13,v,,,york:900929
Abp_Reg_26_0033,14,r,,,york:900930
Abp_Reg_26_0034,14,v,,,york:900931
Abp_Reg_26_0035,15,r,,,york:900932
Abp_Reg_26_0036,15,v,,,york:900933
Abp_Reg_26_0037,16,r,,,york:900934
Abp_Reg_26_0038,16,v,,,york:900935
Abp_Reg_26_0039,17,r,,,york:900936
Abp_Reg_26_0040,17,v,,,york:900937
Abp_Reg_26_0041,18,r,,,york:900938
Abp_Reg_26_0042,18,v,,,york:900939
Abp_Reg_26_0043,19,r,,,york:900940
Abp_Reg_26_0044,19,v,,,york:900941
Abp_Reg_26_0045,20,r,,,york:900942
Abp_Reg_26_0046,20,v,,,york:900943
Abp_Reg_26_0047,21,r,,,york:900944
Abp_Reg_26_0048,21,v,,,york:900945
Abp_Reg_26_0049,22,r,,,york:900946
Abp_Reg_26_0050,22,v,,,york:900947
Abp_Reg_26_0051,23,r,,,york:900948
Abp_Reg_26_0052,23,v,,,york:900949
Abp_Reg_26_0053,24,r,,,york:900950
Abp_Reg_26_0054,24,v,,,york:900951
Abp_Reg_26_0055,25,r,,,york:900952
Abp_Reg_26_0056,25,v,,,york:900953
Abp_Reg_26_0057,26,r,,,york:900954
Abp_Reg_26_0058,26,v,,,york:900955
Abp_Reg_26_0059,27,r,,,york:900956
Abp_Reg_26_0060,27,v,,,york:900957
Abp_Reg_26_0061,28,r,,,york:900958
Abp_Reg_26_0062,28,v,,,york:900959
Abp_Reg_26_0063,29,r,,,york:900960
Abp_Reg_26_0064,29,v,,,york:900961
Abp_Reg_26_0065,30,r,,,york:900962
Abp_Reg_26_0066,30,v,,,york:900963
Abp_Reg_26_0067,31,r,,,york:900964
Abp_Reg_26_0068,31,v,,,york:900965
Abp_Reg_26_0069,32,r,,,york:900966
Abp_Reg_26_0070,32,v,,,york:900967
Abp_Reg_26_0071,33,r,,,york:900968
Abp_Reg_26_0072,33,v,,,york:900969
Abp_Reg_26_0073,34,r,,,york:900970
Abp_Reg_26_0074,34,v,,,york:900971
Abp_Reg_26_0075,35,r,,,york:900972
Abp_Reg_26_0076,35,v,,,york:900973
Abp_Reg_26_0077,36,r,,,york:900974
Abp_Reg_26_0078,36,v,,,york:900975
Abp_Reg_26_0079,37,r,,,york:900976
Abp_Reg_26_0080,37,v,,,york:900977
Abp_Reg_26_0081,38,r,,,york:900978
Abp_Reg_26_0082,38,v,,,york:900979
Abp_Reg_26_0083,39,r,,,york:900980
Abp_Reg_26_0084,39,v,,,york:900981
Abp_Reg_26_0085,40,r,,,york:900982
Abp_Reg_26_0086,40,v,,,york:900983
Abp_Reg_26_0087,41,r,,,york:900984
Abp_Reg_26_0088,41,v,,,york:900985
Abp_Reg_26_0089,42,r,,,york:900986
Abp_Reg_26_0090,42,v,,,york:900987
Abp_Reg_26_0091,43,r,,,york:900988
Abp_Reg_26_0092,43,v,,,york:900989
Abp_Reg_26_0093,44,r,,,york:900990
Abp_Reg_26_0094,44,v,,,york:900991
Abp_Reg_26_0095,45,r,,,york:900992
Abp_Reg_26_0096,45,v,,,york:900993
Abp_Reg_26_0097,46,r,,,york:900994
Abp_Reg_26_0098,46,v,,,york:900995
Abp_Reg_26_0099,47,r,,,york:900996
Abp_Reg_26_0100,47,v,,,york:900997
Abp_Reg_26_0101,48,r,,,york:900998
Abp_Reg_26_0102,48,v,,,york:900999
Abp_Reg_26_0103,49,r,,,york:901000
Abp_Reg_26_0104,49,v,,,york:901001
Abp_Reg_26_0105,50,r,,,york:901002
Abp_Reg_26_0106,50,v,,,york:901003
Abp_Reg_26_0107,51,r,,,york:901004
Abp_Reg_26_0108,51,v,,,york:901005
Abp_Reg_26_0109,52,r,,,york:901006
Abp_Reg_26_0110,52,v,,,york:901007
Abp_Reg_26_0111,53,r,,,york:901008
