Abp Reg 6,Abp Reg 6: Thomas Corbridge (1300-1304),1300-1304,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151208/Abp_Reg_06_0284.jp2/300,4200,800,800/200,/0/default.jpg",5,h702q6403,855470
Abp Reg 8,Abp Reg 8: William Greenfield (1306-1315) Part II 1311-1315,1311-1315,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151208/Abp_Reg_08_0282.jp2/300,1800,2000,2000/200,/0/default.jpg",6,h702q6403,855470
Abp Reg 9A,Abp Reg 9A: William Melton (1317-1340),1317-1340,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151216/Abp_Reg_09A_0288.jp2/1800,3000,2500,2500/200,/0/default.jpg",7,h702q6403,855470
Abp Reg 9B,Abp Reg 9B: William Melton (1317-1340),1317-1340,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151211/Abp_Reg_09B_0310.jp2/400,3000,3000,3000/200,/0/default.jpg",8,h702q6403,855470
