Image,folio,recto/verso,Notes,UV,PID
Inst_AB_04_0001,,,Outside of front board,,york:907894
Inst_AB_04_0002,,,Pastedown on inside of front board; Foredge label (recto),,york:907895
Inst_AB_04_0003,,,Pastedown on inside of front board; Foredge label (verso),,york:907896
Inst_AB_04_0004,,,Front flyleaf (recto),,york:907897
Inst_AB_04_0005,,,Front flyleaf (verso),,york:907898
Inst_AB_04_0006,1,r,,,york:907899
Inst_AB_04_0007,1,v,,,york:907900
Inst_AB_04_0008,2,r,,,york:907901
Inst_AB_04_0009,2,v,,,york:907902
Inst_AB_04_0010,3,r,,,york:907903
Inst_AB_04_0011,3,v,,,york:907904
Inst_AB_04_0012,4,r,,,york:907905
Inst_AB_04_0013,4,v,,,york:907906
Inst_AB_04_0014,5,r,,,york:907907
Inst_AB_04_0015,5,v,,,york:907908
Inst_AB_04_0016,6,r,,,york:907909
Inst_AB_04_0017,6,v,,,york:907910
Inst_AB_04_0018,7,r,,,york:907911
Inst_AB_04_0019,7,v,,,york:907912
Inst_AB_04_0020,8,r,,,york:907913
Inst_AB_04_0021,8,v,,,york:907914
Inst_AB_04_0022,9,r,,,york:907915
Inst_AB_04_0023,9,v,,,york:907916
Inst_AB_04_0024,10,r,,,york:907917
Inst_AB_04_0025,10,v,,,york:907918
Inst_AB_04_0026,11,r,,,york:907919
Inst_AB_04_0027,11,v,,,york:907920
Inst_AB_04_0028,12,r,,,york:907921
Inst_AB_04_0029,12,v,,,york:907922
Inst_AB_04_0030,13,r,,,york:907923
Inst_AB_04_0031,13,v,,,york:907924
Inst_AB_04_0032,14,r,,,york:907925
Inst_AB_04_0033,14,v,,,york:907926
Inst_AB_04_0034,15,r,,,york:907927
Inst_AB_04_0035,15,v,,,york:907928
Inst_AB_04_0036,16,r,,,york:907929
Inst_AB_04_0037,16,v,,,york:907930
Inst_AB_04_0038,17,r,,,york:907931
Inst_AB_04_0039,17,v,,,york:907932
Inst_AB_04_0040,18,r,,,york:907933
Inst_AB_04_0041,18,v,,,york:907934
Inst_AB_04_0042,19,r,,,york:907935
Inst_AB_04_0043,19,v,,,york:907936
Inst_AB_04_0044,20,r,,,york:907937
Inst_AB_04_0045,20,v,,,york:907938
Inst_AB_04_0046,21,r,,,york:907939
Inst_AB_04_0047,21,v,,,york:907940
Inst_AB_04_0048,22,r,,,york:907941
Inst_AB_04_0049,22,v,,,york:907942
Inst_AB_04_0050,23,r,,,york:907943
Inst_AB_04_0051,23,v,,,york:907944
Inst_AB_04_0052,24,r,,,york:907945
Inst_AB_04_0053,24,v,,,york:907946
Inst_AB_04_0054,25,r,,,york:907947
Inst_AB_04_0055,25,v,,,york:907948
Inst_AB_04_0056,26,r,,,york:907949
Inst_AB_04_0057,26,v,,,york:907950
Inst_AB_04_0058,27,r,,,york:907951
Inst_AB_04_0059,27,v,,,york:907952
Inst_AB_04_0060,28,r,,,york:907953
Inst_AB_04_0061,28,v,,,york:907954
Inst_AB_04_0062,29,r,,,york:907955
Inst_AB_04_0063,29,v,,,york:907956
Inst_AB_04_0064,30,r,,,york:907957
Inst_AB_04_0065,30,v,,,york:907958
Inst_AB_04_0066,31,r,,,york:907959
Inst_AB_04_0067,31,v,,,york:907960
Inst_AB_04_0068,32,r,,,york:907961
Inst_AB_04_0069,32,v,,,york:907962
