Image,folio,recto/verso,Notes,UV,PID
Abp_Reg_12_0001,,,Outside of front board,,york:897800
Abp_Reg_12_0002,,,Pastedown on inside of front board; Paper,,york:897801
Abp_Reg_12_0003,,,Front flyleaf 1 (recto); Paper,,york:897802
Abp_Reg_12_0004,,,Front flyleaf 1 (verso); Paper,,york:897803
Abp_Reg_12_0005,,,Front flyleaf 2 (recto); Paper,,york:897804
Abp_Reg_12_0006,,,Front flyleaf 2 (verso); Paper,,york:897805
Abp_Reg_12_0007,,,Contemporary front cover lining (recto),,york:897806
Abp_Reg_12_0008,,,Contemporary front cover lining (verso),,york:897807
Abp_Reg_12_0009,,,Contemporary front flyleaf (recto),,york:897808
Abp_Reg_12_0010,,,Contemporary front flyleaf (verso),,york:897809
Abp_Reg_12_0011,i,r,Guard,,york:897810
Abp_Reg_12_0012,,,Contemporary front flyleaf (verso); Guard,,york:897811
Abp_Reg_12_0013,i,r,Index; Paper,,york:897812
Abp_Reg_12_0014,i,v,Index; Paper,,york:897813
Abp_Reg_12_0015,ii,r,Index; Paper,,york:897814
Abp_Reg_12_0016,ii,v,Index; Paper,,york:897815
Abp_Reg_12_0017,iii,r,Index; Paper,,york:897816
Abp_Reg_12_0018,iii,v,Index; Paper,,york:897817
Abp_Reg_12_0019,iv,r,Index; Paper,,york:897818
Abp_Reg_12_0020,iv,v,Paper,,york:897819
Abp_Reg_12_0021,v,r,Paper,,york:897820
Abp_Reg_12_0022,v,v,Paper,,york:897821
Abp_Reg_12_0023,vi,r,Paper,,york:897822
Abp_Reg_12_0024,vi,v,Paper,,york:897823
Abp_Reg_12_0025,1,r,,,york:897824
Abp_Reg_12_0026,1,r,,UV,york:897825
Abp_Reg_12_0027,1,v,,,york:897826
Abp_Reg_12_0028,1,v,,UV,york:897827
Abp_Reg_12_0029,2,r,,,york:897828
Abp_Reg_12_0030,2,r,,UV,york:897829
Abp_Reg_12_0031,2,v,,,york:897830
Abp_Reg_12_0032,2,v,,UV,york:897831
Abp_Reg_12_0033,3,r,,,york:897832
Abp_Reg_12_0034,3,v,,,york:897833
Abp_Reg_12_0035,4,r,,,york:897834
Abp_Reg_12_0036,4,v,,,york:897835
Abp_Reg_12_0037,5,r,,,york:897836
Abp_Reg_12_0038,5,v,,,york:897837
Abp_Reg_12_0039,6,r,,,york:897838
Abp_Reg_12_0040,6,v,,,york:897839
Abp_Reg_12_0041,7,r,,,york:897840
Abp_Reg_12_0042,7,v,,,york:897841
Abp_Reg_12_0043,8,r,,,york:897842
Abp_Reg_12_0044,8,v,,,york:897843
Abp_Reg_12_0045,9,r,,,york:897844
Abp_Reg_12_0046,9,v,,,york:897845
Abp_Reg_12_0047,10,r,,,york:897846
Abp_Reg_12_0048,10,v,,,york:897847
Abp_Reg_12_0049,11,r,,,york:897848
Abp_Reg_12_0050,11,v,,,york:897849
Abp_Reg_12_0051,11A,r,,,york:897850
Abp_Reg_12_0052,11A,v,,,york:897851
Abp_Reg_12_0053,12,r,,,york:897852
Abp_Reg_12_0054,12,v,,,york:897853
Abp_Reg_12_0055,13,r,,,york:897854
Abp_Reg_12_0056,13,v,,,york:897855
Abp_Reg_12_0057,14,r,,,york:897856
Abp_Reg_12_0058,14,v,,,york:897857
Abp_Reg_12_0059,15,r,,,york:897858
Abp_Reg_12_0060,15,v,,,york:897859
Abp_Reg_12_0061,16,r,,,york:897860
Abp_Reg_12_0062,16,v,,,york:897861
Abp_Reg_12_0063,17,r,,,york:897862
Abp_Reg_12_0064,17,v,,,york:897863
Abp_Reg_12_0065,18,r,,,york:897864
Abp_Reg_12_0066,18,v,,,york:897865
Abp_Reg_12_0067,19,r,,,york:897866
Abp_Reg_12_0068,19,v,,,york:897867
Abp_Reg_12_0069,20,r,,,york:897868
Abp_Reg_12_0070,20,v,,,york:897869
Abp_Reg_12_0071,21,r,,,york:897870
Abp_Reg_12_0072,21,v,,,york:897871
Abp_Reg_12_0073,22,r,,,york:897872
Abp_Reg_12_0074,22,v,,,york:897873
Abp_Reg_12_0075,23,r,,,york:897874
Abp_Reg_12_0076,23,v,,,york:897875
Abp_Reg_12_0077,24,r,,,york:897876
Abp_Reg_12_0078,24,v,,,york:897877
Abp_Reg_12_0079,25,r,,,york:897878
Abp_Reg_12_0080,25,v,,,york:897879
Abp_Reg_12_0081,26,r,,,york:897880
Abp_Reg_12_0082,26,v,,,york:897881
Abp_Reg_12_0083,27,r,,,york:897882
Abp_Reg_12_0084,27,v,,,york:897883
Abp_Reg_12_0085,28,r,,,york:897884
Abp_Reg_12_0086,28,v,,,york:897885
Abp_Reg_12_0087,29,r,,,york:897886
Abp_Reg_12_0088,29,v,,,york:897887
Abp_Reg_12_0089,30,r,,,york:897888
Abp_Reg_12_0090,30,v,,,york:897889
Abp_Reg_12_0091,31,r,,,york:897890
Abp_Reg_12_0092,31,v,,,york:897891
Abp_Reg_12_0093,32,r,,,york:897892
Abp_Reg_12_0094,32,v,,,york:897893
Abp_Reg_12_0095,33,r,,,york:897894
Abp_Reg_12_0096,33,v,,,york:897895
Abp_Reg_12_0097,34,r,,,york:897896
Abp_Reg_12_0098,34,v,,,york:897897
Abp_Reg_12_0099,35,r,,,york:897898
Abp_Reg_12_0100,35,v,,,york:897899
Abp_Reg_12_0101,36,r,,,york:897900
Abp_Reg_12_0102,36,v,,,york:897901
Abp_Reg_12_0103,37,r,,,york:897902
Abp_Reg_12_0104,37,v,,,york:897903
Abp_Reg_12_0105,38,r,,,york:897904
Abp_Reg_12_0106,38,v,,,york:897905
Abp_Reg_12_0107,39,r,,,york:897906
Abp_Reg_12_0108,39,v,,,york:897907
Abp_Reg_12_0109,40,r,,,york:897908
Abp_Reg_12_0110,40,v,,,york:897909
Abp_Reg_12_0111,41,r,,,york:897910
Abp_Reg_12_0112,41,v,,,york:897911
Abp_Reg_12_0113,42,r,,,york:897912
Abp_Reg_12_0114,42,v,,,york:897913
Abp_Reg_12_0115,43,r,,,york:897914
Abp_Reg_12_0116,43,v,,,york:897915
Abp_Reg_12_0117,44,r,,,york:897916
Abp_Reg_12_0118,44,v,,,york:897917
Abp_Reg_12_0119,45,r,,,york:897918
Abp_Reg_12_0120,45,v,,,york:897919
Abp_Reg_12_0121,46,r,,,york:897920
Abp_Reg_12_0122,46,v,,,york:897921
Abp_Reg_12_0123,47,r,,,york:897922
Abp_Reg_12_0124,47,v,,,york:897923
Abp_Reg_12_0125,48,r,,,york:897924
Abp_Reg_12_0126,48,v,,,york:897925
Abp_Reg_12_0127,49,r,,,york:897926
Abp_Reg_12_0128,49,v,,,york:897927
Abp_Reg_12_0129,50,r,,,york:897928
Abp_Reg_12_0130,50,v,,,york:897929
Abp_Reg_12_0131,51,r,,,york:897930
Abp_Reg_12_0132,51,v,,,york:897931
Abp_Reg_12_0133,51A,r,,,york:897932
Abp_Reg_12_0134,51A,v,,,york:897933
Abp_Reg_12_0135,52,r,,,york:897934
Abp_Reg_12_0136,52,v,,,york:897935
Abp_Reg_12_0137,53,r,,,york:897936
Abp_Reg_12_0138,53,v,,,york:897937
Abp_Reg_12_0139,54,r,,,york:897938
Abp_Reg_12_0140,54,v,,,york:897939
Abp_Reg_12_0141,54,v,,UV,york:897940
Abp_Reg_12_0142,55,r,,,york:897941
Abp_Reg_12_0143,55,v,,,york:897942
Abp_Reg_12_0144,56,r,,,york:897943
Abp_Reg_12_0145,56,v,,,york:897944
Abp_Reg_12_0146,57,r,,,york:897945
Abp_Reg_12_0147,57,v,,,york:897946
Abp_Reg_12_0148,58,r,,,york:897947
Abp_Reg_12_0149,58,v,,,york:897948
Abp_Reg_12_0150,59,r,,,york:897949
Abp_Reg_12_0151,59,v,,,york:897950
Abp_Reg_12_0152,60,r,,,york:897951
Abp_Reg_12_0153,60,v,,,york:897952
Abp_Reg_12_0154,61,r,,,york:897953
Abp_Reg_12_0155,61,v,,,york:897954
Abp_Reg_12_0156,62,r,,,york:897955
Abp_Reg_12_0157,62,v,,,york:897956
Abp_Reg_12_0158,63,r,,,york:897957
Abp_Reg_12_0159,63,v,,,york:897958
Abp_Reg_12_0160,64,r,,,york:897959
Abp_Reg_12_0161,64,v,,,york:897960
Abp_Reg_12_0162,65,r,,,york:897961
Abp_Reg_12_0163,65,v,,,york:897962
Abp_Reg_12_0164,66,r,,,york:897963
Abp_Reg_12_0165,66,v,,,york:897964
Abp_Reg_12_0166,67,r,,,york:897965
Abp_Reg_12_0167,67,v,,,york:897966
Abp_Reg_12_0168,68,r,,,york:897967
Abp_Reg_12_0169,68,v,,,york:897968
Abp_Reg_12_0170,69,r,,,york:897969
Abp_Reg_12_0171,69,v,,,york:897970
Abp_Reg_12_0172,70,r,,,york:897971
Abp_Reg_12_0173,70,v,,,york:897972
Abp_Reg_12_0174,71,r,,,york:897973
Abp_Reg_12_0175,71,v,,,york:897974
Abp_Reg_12_0176,72,r,,,york:897975
Abp_Reg_12_0177,72,v,,,york:897976
Abp_Reg_12_0178,73,r,,,york:897977
Abp_Reg_12_0179,73,v,,,york:897978
Abp_Reg_12_0180,74,r,,,york:897979
Abp_Reg_12_0181,74,v,,,york:897980
Abp_Reg_12_0182,75,r,,,york:897981
Abp_Reg_12_0183,75,v,,,york:897982
Abp_Reg_12_0184,76,r,,,york:897983
Abp_Reg_12_0185,76,v,,,york:897984
Abp_Reg_12_0186,77,r,,,york:897985
Abp_Reg_12_0187,77,v,,,york:897986
Abp_Reg_12_0188,78,r,,,york:897987
Abp_Reg_12_0189,78,v,,,york:897988
Abp_Reg_12_0190,79,r,,,york:897989
Abp_Reg_12_0191,79,v,,,york:897990
Abp_Reg_12_0192,80,r,,,york:897991
Abp_Reg_12_0193,80,v,,,york:897992
Abp_Reg_12_0194,81,r,,,york:897993
Abp_Reg_12_0195,81,v,,,york:897994
Abp_Reg_12_0196,82,r,,,york:897995
Abp_Reg_12_0197,82,v,,,york:897996
Abp_Reg_12_0198,83,r,,,york:897997
Abp_Reg_12_0199,83,v,,,york:897998
