Image,folio,recto/verso,Description,Notes,PID
Abp_Reg_27_0128,59,v,,,york:903461
Abp_Reg_27_0129,60,r,,,york:903462
Abp_Reg_27_0130,60,v,,,york:903463
Abp_Reg_27_0131,61,r,,,york:903464
Abp_Reg_27_0132,61,v,,,york:903465
Abp_Reg_27_0133,62,r,,,york:903466
Abp_Reg_27_0134,62,v,,,york:903467
Abp_Reg_27_0135,63,r,,,york:903468
Abp_Reg_27_0136,63,v,,,york:903469
Abp_Reg_27_0137,64,r,,,york:903470
Abp_Reg_27_0138,64,v,,,york:903471
Abp_Reg_27_0139,65,r,,,york:903472
Abp_Reg_27_0140,65,v,,,york:903473
Abp_Reg_27_0141,66,r,,,york:903474
Abp_Reg_27_0142,66,v,,,york:903475
Abp_Reg_27_0143,67,r,,,york:903476
Abp_Reg_27_0144,67,v,,,york:903477
Abp_Reg_27_0145,68,r,,,york:903478
Abp_Reg_27_0146,68,v,,,york:903479
Abp_Reg_27_0147,69,r,,,york:903480
Abp_Reg_27_0148,69,v,,,york:903481
Abp_Reg_27_0149,70,r,,,york:903482
Abp_Reg_27_0150,70,v,,,york:903483
Abp_Reg_27_0151,71,r,,,york:903484
Abp_Reg_27_0152,71,v,,,york:903485
Abp_Reg_27_0153,72,r,,,york:903486
Abp_Reg_27_0154,72,v,,,york:903487
Abp_Reg_27_0155,73,r,,,york:903488
Abp_Reg_27_0156,73,v,,,york:903489
Abp_Reg_27_0157,74,r,,,york:903490
Abp_Reg_27_0158,74,v,,,york:903491
Abp_Reg_27_0159,75,r,,,york:903492
Abp_Reg_27_0160,75,v,,,york:903493
Abp_Reg_27_0161,76,r,,,york:903494
Abp_Reg_27_0162,76,v,,,york:903495
Abp_Reg_27_0163,77,r,,,york:903496
Abp_Reg_27_0164,77,v,,,york:903497
Abp_Reg_27_0165,78,r,,,york:903498
Abp_Reg_27_0166,78,v,,,york:903499
Abp_Reg_27_0167,79,r,,,york:903500
Abp_Reg_27_0168,79,v,,,york:903501
Abp_Reg_27_0169,80,r,,,york:903502
Abp_Reg_27_0170,80,v,,,york:903503
Abp_Reg_27_0171,81,r,,,york:903504
Abp_Reg_27_0172,81,v,,,york:903505
Abp_Reg_27_0173,82,r,,,york:903506
Abp_Reg_27_0174,82,v,,,york:903507
Abp_Reg_27_0175,83,r,,,york:903508
Abp_Reg_27_0176,83,v,,,york:903509
Abp_Reg_27_0177,84,r,,,york:903510
Abp_Reg_27_0178,84,v,,,york:903511
Abp_Reg_27_0179,85,r,,,york:903512
Abp_Reg_27_0180,85,v,,,york:903513
Abp_Reg_27_0181,86,r,,,york:903514
Abp_Reg_27_0182,86,v,,,york:903515
Abp_Reg_27_0183,87,r,,,york:903516
Abp_Reg_27_0184,87,v,,,york:903517
Abp_Reg_27_0185,88,r,,,york:903518
Abp_Reg_27_0186,88,v,,,york:903519
Abp_Reg_27_0187,89,r,,,york:903520
Abp_Reg_27_0188,89,v,,,york:903521
Abp_Reg_27_0189,90,r,,,york:903522
Abp_Reg_27_0190,90,v,,,york:903523
Abp_Reg_27_0191,91,r,,,york:903524
Abp_Reg_27_0192,91,v,,,york:903525
Abp_Reg_27_0193,92,r,,,york:903526
Abp_Reg_27_0194,92,v,,,york:903527
Abp_Reg_27_0195,93,r,,,york:903528
Abp_Reg_27_0196,93,v,,,york:903529
Abp_Reg_27_0197,94,r,,,york:903530
Abp_Reg_27_0198,94,v,,,york:903531
Abp_Reg_27_0199,95,r,,,york:903532
Abp_Reg_27_0200,95,v,,,york:903533
Abp_Reg_27_0201,96,r,,,york:903534
Abp_Reg_27_0202,96,v,,,york:903535
Abp_Reg_27_0203,97,r,,,york:903536
Abp_Reg_27_0204,97,v,,,york:903537
Abp_Reg_27_0205,98,r,,,york:903538
Abp_Reg_27_0206,98,v,,,york:903539
Abp_Reg_27_0207,99,r,,,york:903540
Abp_Reg_27_0208,99,v,,,york:903541
Abp_Reg_27_0209,100,r,,,york:903542
Abp_Reg_27_0210,100,v,,,york:903543
Abp_Reg_27_0211,101,r,,,york:903544
Abp_Reg_27_0212,101,v,,,york:903545
Abp_Reg_27_0213,102,r,,,york:903546
Abp_Reg_27_0214,102,v,,,york:903547
Abp_Reg_27_0215,103,r,,,york:903548
Abp_Reg_27_0216,103,v,,,york:903549
Abp_Reg_27_0217,104,r,,,york:903550
Abp_Reg_27_0218,104,v,,,york:903551
Abp_Reg_27_0219,105,r,,,york:903552
Abp_Reg_27_0220,105,v,,,york:903553
Abp_Reg_27_0221,106,r,,,york:903554
Abp_Reg_27_0222,106,v,,,york:903555
Abp_Reg_27_0223,107,r,,,york:903556
Abp_Reg_27_0224,107,v,,,york:903557
Abp_Reg_27_0225,108,r,,,york:903558
Abp_Reg_27_0226,108,v,,,york:903559
Abp_Reg_27_0227,109,r,,,york:903560
Abp_Reg_27_0228,109,v,,,york:903561
Abp_Reg_27_0229,110,r,,,york:903562
Abp_Reg_27_0230,110,v,,,york:903563
Abp_Reg_27_0231,111,r,,,york:903564
Abp_Reg_27_0232,111,v,,,york:903565
Abp_Reg_27_0233,112,r,,,york:903566
