Image,folio,recto/verso,Notes,UV,PID
Abp_Reg_06_0001,,,Outside of trimmed front cover of contemporary limp parchment case,,york:893622
Abp_Reg_06_0002,,,Inside of trimmed front cover of contemporary limp parchment case,,york:893623
Abp_Reg_06_0003,,,Front flyleaf (recto); Paper,,york:893624
Abp_Reg_06_0004,,,Front flyleaf (verso); Paper,,york:893625
Abp_Reg_06_0005,1,r,Paper,,york:893626
Abp_Reg_06_0006,1,v,Paper,,york:893627
Abp_Reg_06_0007,2,r,Index; Paper,,york:893628
Abp_Reg_06_0008,2,v,Index; Paper,,york:893629
Abp_Reg_06_0009,3,r,Index; Paper,,york:893630
Abp_Reg_06_0010,3,v,Index; Paper,,york:893631
Abp_Reg_06_0011,4,r,Index; Paper,,york:893632
Abp_Reg_06_0012,4,v,Index; Paper,,york:893633
Abp_Reg_06_0013,4A,r,Paper,,york:893634
Abp_Reg_06_0014,4A,v,Paper,,york:893635
Abp_Reg_06_0015,4B,r,Paper,,york:893636
Abp_Reg_06_0016,4B,v,Paper,,york:893637
Abp_Reg_06_0017,5,r,,,york:893638
Abp_Reg_06_0018,5,v,,,york:893639
Abp_Reg_06_0019,6,r,,,york:893640
Abp_Reg_06_0020,6,v,,,york:893641
Abp_Reg_06_0021,7,r,,,york:893642
Abp_Reg_06_0022,7,v,,,york:893643
Abp_Reg_06_0023,8,r,,,york:893644
Abp_Reg_06_0024,8,v,,,york:893645
Abp_Reg_06_0025,9,r,,,york:893646
Abp_Reg_06_0026,9,v,,,york:893647
Abp_Reg_06_0027,10,r,,,york:893648
Abp_Reg_06_0028,10,v,,,york:893649
Abp_Reg_06_0029,11,r,,,york:893650
Abp_Reg_06_0030,11,v,,,york:893651
Abp_Reg_06_0031,12,r,,,york:893652
Abp_Reg_06_0032,12,v,,,york:893653
Abp_Reg_06_0033,13,r,,,york:893654
Abp_Reg_06_0034,13,v,,,york:893655
Abp_Reg_06_0035,14,r,,,york:893656
Abp_Reg_06_0036,14,v,,,york:893657
Abp_Reg_06_0037,15,r,,,york:893658
Abp_Reg_06_0038,15,v,,,york:893659
Abp_Reg_06_0039,16,r,,,york:893660
Abp_Reg_06_0040,16,v,,,york:893661
Abp_Reg_06_0041,17,r,,,york:893662
Abp_Reg_06_0042,17,v,,,york:893663
Abp_Reg_06_0043,18,r,,,york:893664
Abp_Reg_06_0044,18,v,,,york:893665
Abp_Reg_06_0045,19,r,,,york:893666
Abp_Reg_06_0046,19,v,,,york:893667
Abp_Reg_06_0047,20,r,,,york:893668
Abp_Reg_06_0048,20,v,,,york:893669
Abp_Reg_06_0049,21,r,,,york:893670
Abp_Reg_06_0050,21,v,,,york:893671
Abp_Reg_06_0051,22,r,,,york:893672
Abp_Reg_06_0052,22,v,,,york:893673
Abp_Reg_06_0053,23,r,,,york:893674
Abp_Reg_06_0054,23,v,,,york:893675
Abp_Reg_06_0055,25,r,,,york:893676
Abp_Reg_06_0056,25,v,,,york:893677
Abp_Reg_06_0057,24,r,,,york:893678
Abp_Reg_06_0058,24,v,,,york:893679
Abp_Reg_06_0059,26,r,,,york:893680
Abp_Reg_06_0060,26,v,,,york:893681
Abp_Reg_06_0061,27,r,,,york:893682
Abp_Reg_06_0062,27,v,,,york:893683
Abp_Reg_06_0063,28,r,,,york:893684
Abp_Reg_06_0064,28,v,,,york:893685
Abp_Reg_06_0065,29,r,,,york:893686
Abp_Reg_06_0066,29,v,,,york:893687
Abp_Reg_06_0067,30,r,,,york:893688
Abp_Reg_06_0068,30,v,,,york:893689
Abp_Reg_06_0069,31,r,,,york:893690
Abp_Reg_06_0070,31,v,,,york:893691
Abp_Reg_06_0071,32,r,,,york:893692
Abp_Reg_06_0072,32,v,,,york:893693
Abp_Reg_06_0073,33,r,,,york:893694
Abp_Reg_06_0074,33,v,,,york:893695
Abp_Reg_06_0075,34,r,,,york:893696
Abp_Reg_06_0076,34,v,,,york:893697
Abp_Reg_06_0077,35,r,,,york:893698
Abp_Reg_06_0078,35,v,,,york:893699
Abp_Reg_06_0079,36,r,,,york:893700
Abp_Reg_06_0080,36,v,,,york:893701
Abp_Reg_06_0081,37,r,,,york:893702
Abp_Reg_06_0082,37,v,,,york:893703
