Image,folio,recto/verso,Notes,UV,PID
Abp_Reg_13_0001,,,Outside of front board,,york:898130
Abp_Reg_13_0002,,,Pastedown on inside of front board; Paper,,york:898131
Abp_Reg_13_0003,,,Front flyleaf 1 (recto); Paper,,york:898132
Abp_Reg_13_0004,,,Front flyleaf 1 (verso); Paper,,york:898133
Abp_Reg_13_0005,,,Front flyleaf 2 (recto); Paper,,york:898134
Abp_Reg_13_0006,,,Front flyleaf 2 (verso); Paper,,york:898135
Abp_Reg_13_0007,,,Outside of repaired front cover of contemporary limp parchment case,,york:898136
Abp_Reg_13_0008,,,Inside of repaired front cover of contemporary limp parchment case,,york:898137
Abp_Reg_13_0009,,,Front flyleaf of unknown provenance (recto); Paper,,york:898138
Abp_Reg_13_0010,,,Front flyleaf of unknown provenance (verso); Paper,,york:898139
Abp_Reg_13_0011,,,Non-contemporary guard to front flyleaf of unknown provenance (recto); Paper,,york:898140
Abp_Reg_13_0012,,,Non-contemporary guard to front flyleaf of unknown provenance (verso); Paper,,york:898141
Abp_Reg_13_0013,1,r,,,york:898142
Abp_Reg_13_0014,1,v,,,york:898143
Abp_Reg_13_0015,2,r,,,york:898144
Abp_Reg_13_0016,2,v,,,york:898145
Abp_Reg_13_0017,3,r,,,york:898146
Abp_Reg_13_0018,3,v,,,york:898147
Abp_Reg_13_0019,4,r,,,york:898148
Abp_Reg_13_0020,4,v,,,york:898149
Abp_Reg_13_0021,5,r,,,york:898150
Abp_Reg_13_0022,5,v,,,york:898151
Abp_Reg_13_0023,6,r,,,york:898152
Abp_Reg_13_0024,6,v,,,york:898153
Abp_Reg_13_0025,7,r,,,york:898154
Abp_Reg_13_0026,7,v,,,york:898155
Abp_Reg_13_0027,8,r,,,york:898156
Abp_Reg_13_0028,8,v,,,york:898157
Abp_Reg_13_0029,9,r,,,york:898158
Abp_Reg_13_0030,9,v,,,york:898159
Abp_Reg_13_0031,10,r,,,york:898160
Abp_Reg_13_0032,10,v,,,york:898161
Abp_Reg_13_0033,11,r,,,york:898162
Abp_Reg_13_0034,11,v,,,york:898163
Abp_Reg_13_0035,12,r,,,york:898164
Abp_Reg_13_0036,12,v,,,york:898165
Abp_Reg_13_0037,13,r,,,york:898166
Abp_Reg_13_0038,13,v,,,york:898167
Abp_Reg_13_0039,14,r,,,york:898168
Abp_Reg_13_0040,14,v,,,york:898169
Abp_Reg_13_0041,15,r,,,york:898170
Abp_Reg_13_0042,15,v,,,york:898171
Abp_Reg_13_0043,16,r,,,york:898172
Abp_Reg_13_0044,16,v,,,york:898173
Abp_Reg_13_0045,17,r,,,york:898174
Abp_Reg_13_0046,17,v,,,york:898175
Abp_Reg_13_0047,18,r,,,york:898176
Abp_Reg_13_0048,18,v,,,york:898177
Abp_Reg_13_0049,19,r,,,york:898178
Abp_Reg_13_0050,19,v,,,york:898179
Abp_Reg_13_0051,20,r,,,york:898180
Abp_Reg_13_0052,20,v,,,york:898181
Abp_Reg_13_0053,21,r,,,york:898182
Abp_Reg_13_0054,21,v,,,york:898183
Abp_Reg_13_0055,22,r,,,york:898184
Abp_Reg_13_0056,22,v,,,york:898185
Abp_Reg_13_0057,23,r,,,york:898186
Abp_Reg_13_0058,23,v,,,york:898187
Abp_Reg_13_0059,24,r,,,york:898188
Abp_Reg_13_0060,24,v,,,york:898189
