Image,folio,recto/verso,Notes,UV,PID
Abp_Reg_14_0001,,,Outside of front board,,york:897615
Abp_Reg_14_0002,,,Pastedown on inside of front board; Paper,,york:897616
Abp_Reg_14_0003,,,Front flyleaf 1 (recto); Paper,,york:897617
Abp_Reg_14_0004,,,Front flyleaf 1 (verso); Paper,,york:897618
Abp_Reg_14_0005,,,Front flyleaf 2 (recto); Paper,,york:897619
Abp_Reg_14_0006,,,Front flyleaf 2 (verso); Paper,,york:897620
Abp_Reg_14_0007,,,Outside of repaired and trimmed front cover of contemporary limp parchment case,,york:897621
Abp_Reg_14_0008,,,Inside of repaired and trimmed front cover of contemporary limp parchment case,,york:897622
Abp_Reg_14_0009,,,Contemporary front flyleaf (recto); Guard,,york:897623
Abp_Reg_14_0010,,,Inside of repaired and trimmed front cover of contemporary limp parchment case; Guard,,york:897624
Abp_Reg_14_0011,,,Contemporary front flyleaf (recto),,york:897625
Abp_Reg_14_0012,,,Contemporary front flyleaf (verso),,york:897626
Abp_Reg_14_0013,1,r,,,york:897627
Abp_Reg_14_0014,1,v,,,york:897628
Abp_Reg_14_0015,2,r,,,york:897629
Abp_Reg_14_0016,2,v,,,york:897630
Abp_Reg_14_0017,3,r,,,york:897631
Abp_Reg_14_0018,3,v,,,york:897632
Abp_Reg_14_0019,3A,r,,,york:897633
Abp_Reg_14_0020,3A,v,,,york:897634
Abp_Reg_14_0021,4,r,,,york:897635
Abp_Reg_14_0022,4,v,,,york:897636
Abp_Reg_14_0023,5,r,,,york:897637
Abp_Reg_14_0024,5,v,,,york:897638
Abp_Reg_14_0025,6,r,,,york:897639
Abp_Reg_14_0026,6,v,,,york:897640
Abp_Reg_14_0027,7,r,,,york:897641
Abp_Reg_14_0028,7,v,,,york:897642
Abp_Reg_14_0029,8,r,,,york:897643
Abp_Reg_14_0030,8,v,,,york:897644
Abp_Reg_14_0031,9,r,,,york:897645
Abp_Reg_14_0032,9,v,,,york:897646
Abp_Reg_14_0033,10,r,,,york:897647
Abp_Reg_14_0034,10,v,,,york:897648
Abp_Reg_14_0035,11,r,,,york:897649
Abp_Reg_14_0036,11,v,,,york:897650
Abp_Reg_14_0037,12,r,,,york:897651
Abp_Reg_14_0038,12,v,,,york:897652
Abp_Reg_14_0039,13,r,,,york:897653
Abp_Reg_14_0040,13,v,,,york:897654
Abp_Reg_14_0041,14,r,,,york:897655
Abp_Reg_14_0042,14,v,,,york:897656
Abp_Reg_14_0043,15,r,,,york:897657
Abp_Reg_14_0044,15,v,,,york:897658
Abp_Reg_14_0045,16,r,,,york:897659
Abp_Reg_14_0046,16,v,,,york:897660
Abp_Reg_14_0047,17,r,,,york:897661
Abp_Reg_14_0048,17,v,,,york:897662
Abp_Reg_14_0049,18,r,,,york:897663
Abp_Reg_14_0050,18,v,,,york:897664
Abp_Reg_14_0051,19,r,,,york:897665
Abp_Reg_14_0052,19,v,,,york:897666
Abp_Reg_14_0053,20,r,,,york:897667
Abp_Reg_14_0054,20,v,,,york:897668
Abp_Reg_14_0055,21,r,,,york:897669
Abp_Reg_14_0056,21,v,,,york:897670
Abp_Reg_14_0057,22,r,,,york:897671
Abp_Reg_14_0058,22,v,,,york:897672
Abp_Reg_14_0059,23,r,,,york:897673
Abp_Reg_14_0060,23,v,,,york:897674
Abp_Reg_14_0061,24,r,,,york:897675
Abp_Reg_14_0062,24,v,,,york:897676
Abp_Reg_14_0063,25,r,,,york:897677
Abp_Reg_14_0064,25,v,,,york:897678
Abp_Reg_14_0065,26,r,,,york:897679
Abp_Reg_14_0066,26,v,,,york:897680
Abp_Reg_14_0067,27,r,,,york:897681
Abp_Reg_14_0068,27,v,,,york:897682
Abp_Reg_14_0069,28,r,,,york:897683
Abp_Reg_14_0070,28,v,,,york:897684
Abp_Reg_14_0071,29,r,,,york:897685
Abp_Reg_14_0072,29,v,,,york:897686
Abp_Reg_14_0073,30,r,,,york:897687
