Image,folio,recto/verso,Notes,UV,PID
Abp_Reg_05A_0001,,,ff.56-68; Outside of front cover of non-contemporary limp parchment case,,york:894928
Abp_Reg_05A_0002,,,ff.56-68; Inside of front cover of non-contemporary limp parchment case,,york:894929
Abp_Reg_05A_0003,56,r,,,york:894930
Abp_Reg_05A_0004,56,r,,UV,york:894931
Abp_Reg_05A_0005,56,v,,,york:894932
Abp_Reg_05A_0006,57,r,,,york:894933
Abp_Reg_05A_0007,57,v,,,york:894934
Abp_Reg_05A_0008,58,r,,,york:894935
Abp_Reg_05A_0009,58,v,,,york:894936
Abp_Reg_05A_0010,59,r,,,york:894937
Abp_Reg_05A_0011,59,v,,,york:894938
Abp_Reg_05A_0012,60,r,,,york:894939
Abp_Reg_05A_0013,60,v,,,york:894940
Abp_Reg_05A_0014,61,r,,,york:894941
Abp_Reg_05A_0015,61,v,,,york:894942
Abp_Reg_05A_0016,62,r,,,york:894943
Abp_Reg_05A_0017,62,v,,,york:894944
Abp_Reg_05A_0018,63,r,,,york:894945
Abp_Reg_05A_0019,63,v,,,york:894946
Abp_Reg_05A_0020,64,r,,,york:894947
Abp_Reg_05A_0021,64,v,,,york:894948
Abp_Reg_05A_0022,65,r,,,york:894949
Abp_Reg_05A_0023,65,v,,,york:894950
Abp_Reg_05A_0024,66,r,,,york:894951
Abp_Reg_05A_0025,66,v,,,york:894952
Abp_Reg_05A_0026,67,r,,,york:894953
Abp_Reg_05A_0027,67,v,,,york:894954
Abp_Reg_05A_0028,68,r,,,york:894955
Abp_Reg_05A_0029,68,v,,,york:894956
Abp_Reg_05A_0030,,,ff.56-68; Outside of back cover of non-contemporary limp parchment case,,york:894957
Abp_Reg_05A_0031,,,ff.56-68; Inside of back cover of non-contemporary limp parchment case,,york:894958
Abp_Reg_05A_0032,,,ff.69-84; Outside of front cover of non-contemporary limp parchment case,,york:894959
Abp_Reg_05A_0033,,,ff.69-84; Inside of front cover of non-contemporary limp parchment case,,york:894960
Abp_Reg_05A_0034,69,r,,,york:894961
Abp_Reg_05A_0035,69,v,,,york:894962
Abp_Reg_05A_0036,70,r,,,york:894963
Abp_Reg_05A_0037,70,v,,,york:894964
Abp_Reg_05A_0038,71,r,,,york:894965
Abp_Reg_05A_0039,71,v,,,york:894966
Abp_Reg_05A_0040,72,r,,,york:894967
