Image,folio,recto/verso,Notes,UV,PID
Abp_Reg_18_0001,,,Outside of front board,,york:902366
Abp_Reg_18_0002,,,Pastedown on inside of front board; Paper,,york:902367
Abp_Reg_18_0003,,,Front flyleaf 1 (recto); Paper,,york:902368
Abp_Reg_18_0004,,,Front flyleaf 1 (verso); Paper,,york:902369
Abp_Reg_18_0005,,,Front flyleaf 2 (recto); Paper,,york:902370
Abp_Reg_18_0006,,,Front flyleaf 2 (verso); Paper,,york:902371
Abp_Reg_18_0007,i,r,,,york:902372
Abp_Reg_18_0008,i,v,,,york:902373
Abp_Reg_18_0009,ii,r,,,york:902374
Abp_Reg_18_0010,ii,v,,,york:902375
Abp_Reg_18_0011,iii,r,,,york:902376
Abp_Reg_18_0012,iii,v,,,york:902377
Abp_Reg_18_0013,1,r,,,york:902378
Abp_Reg_18_0014,1,v,,,york:902379
Abp_Reg_18_0015,2,r,,,york:902380
Abp_Reg_18_0016,2,v,,,york:902381
Abp_Reg_18_0017,3,r,,,york:902382
Abp_Reg_18_0018,3,v,,,york:902383
Abp_Reg_18_0019,4,r,,,york:902384
Abp_Reg_18_0020,4,v,,,york:902385
Abp_Reg_18_0021,5,r,,,york:902386
Abp_Reg_18_0022,5,v,,,york:902387
Abp_Reg_18_0023,6,r,,,york:902388
Abp_Reg_18_0024,6,v,,,york:902389
Abp_Reg_18_0025,7,r,,,york:902390
Abp_Reg_18_0026,7,v,,,york:902391
Abp_Reg_18_0027,8,r,,,york:902392
Abp_Reg_18_0028,8,v,,,york:902393
Abp_Reg_18_0029,9,r,,,york:902394
Abp_Reg_18_0030,9,v,,,york:902395
Abp_Reg_18_0031,10,r,,,york:902396
Abp_Reg_18_0032,10,v,,,york:902397
Abp_Reg_18_0033,11,r,,,york:902398
Abp_Reg_18_0034,11,v,,,york:902399
Abp_Reg_18_0035,12,r,,,york:902400
Abp_Reg_18_0036,12,v,,,york:902401
Abp_Reg_18_0037,13,r,,,york:902402
Abp_Reg_18_0038,13,v,,,york:902403
Abp_Reg_18_0039,14,r,,,york:902404
Abp_Reg_18_0040,14,v,,,york:902405
Abp_Reg_18_0041,15,r,,,york:902406
Abp_Reg_18_0042,15,v,,,york:902407
Abp_Reg_18_0043,16,r,,,york:902408
Abp_Reg_18_0044,16,v,,,york:902409
Abp_Reg_18_0045,17,r,,,york:902410
Abp_Reg_18_0046,17,v,,,york:902411
Abp_Reg_18_0047,18,r,,,york:902412
Abp_Reg_18_0048,18,v,,,york:902413
Abp_Reg_18_0049,19,r,,,york:902414
Abp_Reg_18_0050,19,v,,,york:902415
Abp_Reg_18_0051,20,r,,,york:902416
Abp_Reg_18_0052,20,v,,,york:902417
Abp_Reg_18_0053,21,r,,,york:902418
Abp_Reg_18_0054,21,v,,,york:902419
Abp_Reg_18_0055,22,r,,,york:902420
Abp_Reg_18_0056,22,v,,,york:902421
Abp_Reg_18_0057,23,r,,,york:902422
Abp_Reg_18_0058,23,v,,,york:902423
Abp_Reg_18_0059,24,r,,,york:902424
Abp_Reg_18_0060,24,v,,,york:902425
Abp_Reg_18_0061,25,r,,,york:902426
Abp_Reg_18_0062,25,v,,,york:902427
Abp_Reg_18_0063,26,r,,,york:902428
Abp_Reg_18_0064,26,v,,,york:902429
Abp_Reg_18_0065,27,r,,,york:902430
Abp_Reg_18_0066,27,v,,,york:902431
Abp_Reg_18_0067,28,r,,,york:902432
Abp_Reg_18_0068,28,v,,,york:902433
Abp_Reg_18_0069,29,r,,,york:902434
Abp_Reg_18_0070,29,v,,,york:902435
Abp_Reg_18_0071,30,r,,,york:902436
Abp_Reg_18_0072,30,v,,,york:902437
Abp_Reg_18_0073,31,r,,,york:902438
Abp_Reg_18_0074,31,v,,,york:902439
Abp_Reg_18_0075,32,r,,,york:902440
Abp_Reg_18_0076,32,v,,,york:902441
Abp_Reg_18_0077,33,r,,,york:902442
Abp_Reg_18_0078,33,v,,,york:902443
Abp_Reg_18_0079,34,r,,,york:902444
Abp_Reg_18_0080,34,v,,,york:902445
Abp_Reg_18_0081,35,r,,,york:902446
Abp_Reg_18_0082,35,v,,,york:902447
Abp_Reg_18_0083,36,r,,,york:902448
Abp_Reg_18_0084,36,v,,,york:902449
Abp_Reg_18_0085,37,r,,,york:902450
Abp_Reg_18_0086,37,v,,,york:902451
Abp_Reg_18_0087,38,r,,,york:902452
Abp_Reg_18_0088,38,v,,,york:902453
Abp_Reg_18_0089,39,r,,,york:902454
Abp_Reg_18_0090,39,v,,,york:902455
Abp_Reg_18_0091,39A,r,,,york:902456
Abp_Reg_18_0092,39A,v,,,york:902457
Abp_Reg_18_0093,39B,r,,,york:902458
Abp_Reg_18_0094,39B,v,,,york:902459
Abp_Reg_18_0095,39C,r,,,york:902460
Abp_Reg_18_0096,39C,v,,,york:902461
Abp_Reg_18_0097,39D,r,,,york:902462
Abp_Reg_18_0098,39D,v,,,york:902463
Abp_Reg_18_0099,39E,r,,,york:902464
Abp_Reg_18_0100,39E,v,,,york:902465
Abp_Reg_18_0101,39F,r,,,york:902466
Abp_Reg_18_0102,39F,v,,,york:902467
Abp_Reg_18_0103,39G,r,,,york:902468
Abp_Reg_18_0104,39G,v,,,york:902469
Abp_Reg_18_0105,39H,r,,,york:902470
Abp_Reg_18_0106,39H,v,,,york:902471
Abp_Reg_18_0107,39I,r,,,york:902472
Abp_Reg_18_0108,39I,v,,,york:902473
Abp_Reg_18_0109,40,r,,,york:902474
Abp_Reg_18_0110,40,v,,,york:902475
Abp_Reg_18_0111,41,r,,,york:902476
Abp_Reg_18_0112,41,v,,,york:902477
Abp_Reg_18_0113,42,r,,,york:902478
Abp_Reg_18_0114,42,v,,,york:902479
Abp_Reg_18_0115,43,r,,,york:902480
Abp_Reg_18_0116,43,v,,,york:902481
Abp_Reg_18_0117,44,r,,,york:902482
Abp_Reg_18_0118,44,v,,,york:902483
Abp_Reg_18_0119,45,r,,,york:902484
Abp_Reg_18_0120,45,v,,,york:902485
Abp_Reg_18_0121,46,r,,,york:902486
Abp_Reg_18_0122,46,v,,,york:902487
Abp_Reg_18_0123,47,r,,,york:902488
Abp_Reg_18_0124,47,v,,,york:902489
Abp_Reg_18_0125,48,r,,,york:902490
Abp_Reg_18_0126,48,v,,,york:902491
Abp_Reg_18_0127,49,r,,,york:902492
Abp_Reg_18_0128,49,v,,,york:902493
Abp_Reg_18_0129,50,r,,,york:902494
Abp_Reg_18_0130,50,v,,,york:902495
Abp_Reg_18_0131,51,r,,,york:902496
Abp_Reg_18_0132,51,v,,,york:902497
Abp_Reg_18_0133,52,r,,,york:902498
Abp_Reg_18_0134,52,v,,,york:902499
Abp_Reg_18_0135,53,r,,,york:902500
Abp_Reg_18_0136,53,v,,,york:902501
Abp_Reg_18_0137,54,r,,,york:902502
Abp_Reg_18_0138,54,v,,,york:902503
Abp_Reg_18_0139,55,r,,,york:902504
Abp_Reg_18_0140,55,v,,,york:902505
Abp_Reg_18_0141,56,r,,,york:902506
Abp_Reg_18_0142,56,v,,,york:902507
Abp_Reg_18_0143,57,r,,,york:902508
Abp_Reg_18_0144,57,v,,,york:902509
Abp_Reg_18_0145,58,r,,,york:902510
Abp_Reg_18_0146,58,v,,,york:902511
Abp_Reg_18_0147,59,r,,,york:902512
Abp_Reg_18_0148,59,v,,,york:902513
Abp_Reg_18_0149,60,r,,,york:902514
