Image,folio,recto/verso,Notes,UV,PID
Inst_AB_03_0001,,,Outside of front board of index,,york:909196
Inst_AB_03_0002,,,Pastedown on inside of front board of index,,york:909197
Inst_AB_03_0003,i,r,Index,,york:909198
Inst_AB_03_0004,i,v,Index,,york:909199
Inst_AB_03_0005,ii,r,Index,,york:909200
Inst_AB_03_0006,ii,v,Index,,york:909201
Inst_AB_03_0007,iii,r,Index,,york:909202
Inst_AB_03_0008,iii,v,Index,,york:909203
Inst_AB_03_0009,iv,r,Index,,york:909204
Inst_AB_03_0010,iv,v,Index,,york:909205
Inst_AB_03_0011,v,r,Index,,york:909206
Inst_AB_03_0012,v,v,Index,,york:909207
Inst_AB_03_0013,vi,r,Index,,york:909208
Inst_AB_03_0014,vi,v,Index,,york:909209
Inst_AB_03_0015,vii,r,Index,,york:909210
Inst_AB_03_0016,vii,v,Index,,york:909211
Inst_AB_03_0017,viii,r,Index,,york:909212
Inst_AB_03_0018,viii,v,Index,,york:909213
Inst_AB_03_0019,ix,r,Index,,york:909214
Inst_AB_03_0020,ix,v,Index,,york:909215
Inst_AB_03_0021,x,r,Index,,york:909216
Inst_AB_03_0022,x,v,Index,,york:909217
Inst_AB_03_0023,xi,r,Index,,york:909218
Inst_AB_03_0024,xi,v,Index,,york:909219
Inst_AB_03_0025,xii,r,Index,,york:909220
Inst_AB_03_0026,xii,v,Index,,york:909221
Inst_AB_03_0027,xiii,r,Index,,york:909222
Inst_AB_03_0028,xiii,v,Index,,york:909223
Inst_AB_03_0029,xiv,r,Index,,york:909224
Inst_AB_03_0030,xiv,v,Index,,york:909225
Inst_AB_03_0031,xv,r,Index,,york:909226
Inst_AB_03_0032,xv,v,Index,,york:909227
Inst_AB_03_0033,xvi,r,Index,,york:909228
Inst_AB_03_0034,xvi,v,Index,,york:909229
Inst_AB_03_0035,xvii,r,Index,,york:909230
Inst_AB_03_0036,xvii,v,Index,,york:909231
Inst_AB_03_0037,xviii,r,Index,,york:909232
Inst_AB_03_0038,xviii,v,Index,,york:909233
Inst_AB_03_0039,xix,r,Index; Guard,,york:909234
Inst_AB_03_0040,xviii,v,Index; Guard,,york:909235
Inst_AB_03_0041,xix,r,Index,,york:909236
Inst_AB_03_0042,xix,v,Index,,york:909237
Inst_AB_03_0043,xx,r,Index,,york:909238
Inst_AB_03_0044,xx,v,Index,,york:909239
Inst_AB_03_0045,xxi,r,Index,,york:909240
