Image,folio,recto/verso,Notes,PID
Abp_Reg_08_0603,300,r,,york:894895
Abp_Reg_08_0604,300,v,,york:894896
Abp_Reg_08_0605,301,r,,york:894897
Abp_Reg_08_0606,301,v,,york:894898
Abp_Reg_08_0607,302,r,,york:894899
Abp_Reg_08_0608,302,v,,york:894900
Abp_Reg_08_0609,303,r,,york:894901
Abp_Reg_08_0610,303,v,,york:894902
Abp_Reg_08_0611,304,r,,york:894903
Abp_Reg_08_0612,304,v,,york:894904
Abp_Reg_08_0613,305,r,,york:894905
Abp_Reg_08_0614,305,v,,york:894906
Abp_Reg_08_0615,306,r,,york:894907
Abp_Reg_08_0616,306,v,,york:894908
Abp_Reg_08_0617,307,r,,york:894909
Abp_Reg_08_0618,307,v,,york:894910
Abp_Reg_08_0619,308,r,,york:894911
Abp_Reg_08_0620,308,v,,york:894912
Abp_Reg_08_0621,309,r,,york:894913
Abp_Reg_08_0622,309,v,,york:894914
Abp_Reg_08_0623,310,r,,york:894915
Abp_Reg_08_0624,310,v,,york:894916
Abp_Reg_08_0625,311,r,,york:894917
Abp_Reg_08_0626,311,v,,york:894918
Abp_Reg_08_0627,312,r,,york:894919
Abp_Reg_08_0628,312,v,,york:894920
Abp_Reg_08_0629,313,r,,york:894921
Abp_Reg_08_0630,313,v,,york:894922
Abp_Reg_08_0631,314,r,,york:894923
Abp_Reg_08_0632,314,v,,york:894924
Abp_Reg_08_0633,315,r,,york:894925
Abp_Reg_08_0634,315,v,,york:894926
Abp_Reg_08_2000,,,Colour reference image,york:894927
