Abp Reg 16,Abp Reg 16: Richard Le Scrope (1398-1405),1398-1405,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151213/Abp_Reg_16_0022.jp2/2400,3850,800,800/200,/0/default.jpg",18,8w32r578c
Abp Reg 17,Abp Reg 17: Henry Bowet (1407-1423) Part II [register extra diocesim],1407-1423,Abp Reg 17 is bound together with Abp Reg 21 in one volume,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151214/Abp_Reg_17_0007.jp2/900,500,1600,1600/200,/0/default.jpg",19,8w32r578c
Abp Reg 18,Abp Reg 18: Henry Bowet (1407-1423) Part I,1407-1423,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151216/Abp_Reg_18_0318.jp2/900,500,3500,3500/200,/0/default.jpg",20,8w32r578c
Abp Reg 19,Abp Reg 19: John Kempe (1425-1452),1425-1452,,,21,8w32r578c
Abp Reg 20,Abp Reg 20: William Booth (1452-1464),1452-1464,,,22,8w32r578c
Abp Reg 21,Abp Reg 21: George Neville (1465-1476) Part I [register extra diocesim],1465-1476,Abp Reg 21 is bound together with Abp Reg 17 in one volume,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151216/Abp_Reg_21_0040.jp2/2200,650,1100,1100/200,/0/default.jpg",23,8w32r578c
Abp Reg 22,Abp Reg 22: George Neville (1465-1476) Part II,1465-1476,,,24,8w32r578c
Abp Reg 23,Abp Reg 23: Thomas Rotherham (1480-1500),1480-1500,,,25,8w32r578c
Abp Reg 24,Abp Reg 24: Thomas Rotherham (1480-1500),1480-1500,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151214/Abp_Reg_24_0106.jp2/1500,650,1100,1100/200,/0/default.jpg",26,8w32r578c
Abp Reg 25,Abp Reg 25: Thomas Savage (1501-1507),1501-1507,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151214/Abp_Reg_25_0010.jp2/400,700,1000,1000/200,/0/default.jpg",27,8w32r578c
Abp Reg 26,Abp Reg 26: Christopher Bainbridge (1508-1514):  Sede Vacante Register 1514,1508-1514,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151215/Abp_Reg_26_0223.jp2/1800,2700,2700,2700/200,/0/default.jpg",28,8w32r578c
Abp Reg 27,Abp Reg 27: Thomas Wolsey (1514-1530),1514-1530,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151216/Abp_Reg_27_0011.jp2/300,1000,5000,5000/100,100/0/default.jpg",29,8w32r578c
Abp Reg 28,Abp Reg 28: Edward Lee (1531-1544),1531-1544,,,30,8w32r578c
Abp Reg 29,Abp Reg 29: Robert Holgate (1545-1554):  Nicholas Heath (1555-1559),1545-1559,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151215/Abp_Reg_29_0022.jp2/1700,6000,800,800/200,/0/default.jpg",31,8w32r578c
Abp Reg 30,Abp Reg 30: Thomas Young (1561-1568):  Sede Vacante Register (1568-1570):  Edmund Grindal (1570-1576),1561-1576,,"http://dlib.york.ac.uk/cgi-bin/iipsrv.fcgi?IIIF=/usr/digilib-webdocs/digilibImages/HOA/current/A/20151217/Abp_Reg_30_0239.jp2/2700,4900,500,500/200,/0/default.jpg",32,8w32r578c
