York,East Riding,Harthill and Hull,,Hutton Cranswick,,,,,,
York,East Riding,Harthill and Hull,,Kilnwick,,,,,,
York,East Riding,Harthill and Hull,,Kirk Ella,,,,,,
York,East Riding,Harthill and Hull,,Kirkburn,,,,,,
York,East Riding,Harthill and Hull,,Lockington,R,Lokington,,,,
York,East Riding,Harthill and Hull,,Londesborough,R,Lonisborough,,,,
York,East Riding,Harthill and Hull,,Low Catton,,,,,,
York,East Riding,Harthill and Hull,,Lund,,,,,,
York,East Riding,Harthill and Hull,,North Cave,,,,,,
York,East Riding,Harthill and Hull,,North Dalton,,,,,,
York,East Riding,Harthill and Hull,,North Ferriby,V,Ferriby,,,,
York,East Riding,Harthill and Hull,,Nunburnholme,R,Burnholme,,,,
York,East Riding,Harthill and Hull,,Rowley,R,Rowly,,,,
York,East Riding,Harthill and Hull,,Sancton,,,,,,
York,East Riding,Harthill and Hull,,Skerne,,,,,,
York,East Riding,Harthill and Hull,,Sutton upon Derwent,R,,,,,
York,East Riding,Harthill and Hull,,Warter,,,,,,
York,East Riding,Harthill and Hull,,Watton,,,,,,
York,East Riding,Harthill and Hull,,Wressle,,,,,,
York,East Riding,Holderness,,Aldbrough,V,Alburgh/Aldburgh,,,,
York,East Riding,Holderness,,Atwick,V,Attynwyke,,,,
York,East Riding,Holderness,,Barmston,R,Barminston,,,,
York,East Riding,Holderness,,Beeford,R,Beford,,,,
York,East Riding,Holderness,,Burstall,,,,,,
York,East Riding,Holderness,,Catwick,R,,,,,
York,East Riding,Holderness,,Cowden Parva,,,,,,
York,East Riding,Holderness,,Easington,,,,,,
York,East Riding,Holderness,,Garton,,,,,,
York,East Riding,Holderness,,Goxhill,,,,,,
York,East Riding,Holderness,,Hilston,,,,,,
York,East Riding,Holderness,,Hornsea,V,,,,,
York,East Riding,Holderness,,Humbleton,,,,,,
York,East Riding,Holderness,,Keyingham,,,,,,
York,East Riding,Holderness,,Kilnsea,,,,,,
York,East Riding,Holderness,,North Frodingham,,,,,,
York,East Riding,Holderness,,Nuthill,R,,,,,
York,East Riding,Holderness,,Ottringham,,,,,,
York,East Riding,Holderness,,Owthorne,V,,,,,
York,East Riding,Holderness,,Paull with Thorngumbald,,,,,,
York,East Riding,Holderness,,Roos,R,,,,,
York,East Riding,Holderness,,Routh,R,Rowth,,,,
York,East Riding,Holderness,,Skeckling,,,,,,
York,East Riding,Holderness,,Skipsea,,,,,,
York,East Riding,Holderness,,Sproatley,R,Sprotley,,,,
York,East Riding,Holderness,,Sutton-on-Hull,,,,,,
York,East Riding,Holderness,,Swine,,,,,,
York,East Riding,Holderness,,Winestead,R,Wynsted,,,,
York,East Riding,Holderness,,Withernsea,,,,,,
