New Folio No. ,Entry No.,Entry Part,Date Range - Standard - Start,Date Range - Standard - End,Date - Inferred,Date - Uncertain,Date - Approximate,Date - Type,Place - As Written,Place - Type,Date - Notes,Recited Date 1 Range - Standard - Start,Recited Date Range - Standard - End,Recited Date - Inferred,Recited Date - Uncertain,Recited Date - Approximate,Recited Date 1 - Type,Recited Date 1 - Place - As Written,Recited Date 1 - Place - Type,Recited Date 1- Notes,Recited date 2 - standard,Recited date 2 - place - as written,Recited date 2 - place - type
83 r - 83 r,1055,,1383-03-03,,,,,Document date,Cawod,,,,,,,,,,,,,,
83 r - 83 r,1056,,1383-03-03,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,
83 r - 83 r,1057,,1383-04-01,,,,,Document date,Cawod,,,,,,,,,,,,,,
83 r - 83 r,1058,,1383-04-24,,,,,Document date,,,,,,,,,,,,,,,
83 r - 83 r,1059,,1383-05-08,,,,,Memorandum date,,,,,,,,,,,,,,,
83 r - 83 v,1060,,[1383-00-00],,,,,Document date,,"Undated, but document appears with others dated in 1383",,,,,,,,,,,,,
83 v - 83 v,1061,,1383-06-27,,,,,Memorandum date,,,,,,,,,,,,,,,
83 v - 83 v,1062,,1383-06-30,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
83 v - 83 v,1063,,1383-06-30,,,,,Memorandum date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
83 v - 83 v,1064,,1383-07-24,,,,,Document date,Cawode,,,,,,,,,,,,,,
83 v - 83 v,1065,,1383-07-24,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
83 v - 83 v,1066,,1383-09-25,,,,,Document date,Thorp' iuxta Ebor',archbishop's manor,,,,,,,,,,,,,
83 v - 83 v,1067,,1383-09-25,,,,,Memorandum date,Thorp' iuxta Ebor',archbishop's manor,,,,,,,,,,,,,
83 v - 83 v,1068,,1383-12-04,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,
83 v - 83 v,1069,,1383-12-04,,,,,Memorandum date,Cawod,archbishop's manor,,,,,,,,,,,,,
83 v - 83 v,1070,,1383-12-06,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,
83 v - 83 v,1071,,1383-12-06,,,,,Memorandum date,Cawode,archbishop's manor,,,,,,,,,,,,,
83 v - 83 v,1072,,1383-12-18,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,
83 v - 83 v,1073,,1383-12-18,,,,,Memorandum date,Cawode,archbishop's manor,,,,,,,,,,,,,
84 r - 84 r,1074,,1384-01-05,,,,,Document date,Cawode,,"Day of date unclear, either 4 or 5",,,,,,,,,,,,
84 r - 84 r,1075,,1384-01-05,,,,,Memorandum date,Cawode,,"Day of date unclear, either 4 or 5",,,,,,,,,,,,
84 r - 84 r,1076,,1382-11-07,,,,,Document date,Newerk',,,,,,,,,,,,,,
84 r - 84 r,1077,,1383-10-09,,,,,Document date,,,,,,,,,,,,,,,
84 v - 84 v,1078,,1384-01-20,,,,,Document date,Cawode,,,,,,,,,,,,,,
84 v - 84 v,1079,,1384-01-20,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
84 v - 84 v,1080,,1384-02-01,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,
84 v - 84 v,1081,,1384-02-01,,,,,Memorandum date,Cawod,archbishop's manor,,,,,,,,,,,,,
84 v - 84 v,1082,,1384-02-08,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,
84 v - 84 v,1083,,1383-02-24,,,,,Document date,Cawod,,,,,,,,,,,,,,
84 v - 84 v,1084,,1384-02-24,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,
84 v - 84 v,1085,,1384-04-01,,,,,Document date,Cawod,,,,,,,,,,,,,,
84 v - 84 v,1086,,1384-04-22,,,,,Document date,Cawode,,,,,,,,,,,,,,
84 v - 84 v,1087,,1384-04-22,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
84 v - 84 v,1088,,1384-06-14,,,,,Document date,Cawod,,,,,,,,,,,,,,
84 v - 84 v,1089,,1384-06-14,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,
84 v - 84 v,1090,,1385-09-10,,,,,Document date,Beverlac',,,,,,,,,,,,,,
