New Folio No. ,Entry No.,Entry Part,Person - Title,Person - First name,Person - Last Name - Prefix,Person - Last Name - as written,Person -  Qualification,Person - further description,Role - role in entry,Role - associated place - as written,Role - associated place - type,Role - associated place - function,Occupation 1  - employment,Status 1  - office,Status 1 - associated place - as written,Status 1 - associated place - standard,Status 1 - associated place - type,Status 1 - associated place - function,Status 2 - office,Status 2 - associated place - as written,Status 2 - associated place - type,Status 2 - associated place - function,Status 3 - office,Status 3 - Place - as written,Status 3 - Place - Type,Status 3 - Place- Function,Status 4,Status 4 - place - as written,Status 4 - place - type,Status 4 - place - function,Status 5,Status 5 - place - as written,Status 5 - place - type,Status 5 - place - function,Status 6,Status 6 - place - as written,Status 6 - place - type,Status 6 - place - function
1,6,,,William,,Lynton',,,,,,,,archbishop's clerk,,,,,,,,,,,,,,,,,,,,,,,,
1,7,,,Alexander,,[Neville],,,sender,,,,,archbishop,Ebor',,archdiocese,,,,,,,,,,,,,,,,,,,,,
1,7,,Sir,Geoffrey,,Barewe,,,addressee,,,,,vicar,?,,?,,,,,,,,,,,,,,,,,,,,,
2,8,,,Alexander,,[Neville],,,sender,,,,,archbishop,Ebor',,archdiocese,,,,,,,,,,,,,,,,,,,,,
2,8,,,,,,,,addressees,,,,,chapter,Ebor',,cathedral church,,,,,,,,,,,,,,,,,,,,,
2,8,,,John,de,Thoresby,,,grantor of tax,,,,,former archbishop,[York],,archdiocese,,,,,,,,,,,,,,,,,,,,,
2,8,,,Edward III,,,,,requester of tax,,,,,king,Angl',,country,,,,,,,,,,,,,,,,,,,,,
2,8,,,Edward III,,,,,requester of tax,,,,,king,Francie,,country,,,,,,,,,,,,,,,,,,,,,
2,8,,,,,,,,tax collectors,,,,,abbot,beate Marie Ebor',,monastery,,,,,,,,,,,,,,,,,,,,,
2,8,,,,,,,,tax collectors,,,,,convent,beate Marie Ebor',,monastery,,,,,,,,,,,,,,,,,,,,,
2,9,,,Alexander,,[Neville],,,sender,,,,,[archbishop],[York],,archdiocese,,,,,,,,,,,,,,,,,,,,,
2,9,,Master,Roger,de,Pykeryng',,,addressee,,,,,notary,[York],,archdiocese,,warden,"beate marie magdalene, Rypon'",hospital,,,,,,,,,,,,,,,,,
2,10,,,Alexander,,[Neville],,,sender,,,,,[archbishop],[York],,archdiocese,,,,,,,,,,,,,,,,,,,,,
2,10,,Master,Simon,de,Multon',Doctor of Laws,,addressee,,,,,canon,Eton',,canonry (Southwell),,,,,,,,,,,,,,,,,,,,,
2,10,,Master,Simon,de,Multon',Doctor of Laws,,addressee,,,,,prebendary,Eton',,prebend (Southwell),,,,,,,,,,,,,,,,,,,,,
2,10,,Sir,Robert,de,Cressewell,,,former office holder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,,,Thomas,de,Multon',,,proctor of addressee,,,,,clerk,,,,,,,,,,,,,,,,,,,,,,,,
2,11,,,Alexander,,[Neville],,,sender,,,,,[archbishop],[York],,archdiocese,,,,,,,,,,,,,,,,,,,,,
