New Folio No. ,Entry No.,Entry Part,Date Range - Standard - Start,Date Range - Standard - End,Date - Inferred,Date - Uncertain,Date - Approximate,Date - Type,Place - As Written,Place - Type,Date - Notes,Recited Date 1 Range - Standard - Start,Recited Date Range - Standard - End,Recited Date - Inferred,Recited Date - Uncertain,Recited Date - Approximate,Recited Date 1 - Type,Recited Date 1 - Place - As Written,Recited Date 1 - Place - Type,Recited Date 1- Notes,Recited date 2 - standard,Recited date 2 - place - as written,Recited date 2 - place - type,,
9,57,,1379-11-03,,,,,Document date,Ripon',,,,,,,,,,,,,,,,
9,58,,1379-11-03,,,,,Document date,Ripon',,,,,,,,,,,,,,,,
9,59,,1379-11-09,,,,,Document date,Ripon',,,,,,,,,,,,,,,,
9,60,,1379-11-09,,,,,Memorandum date,Ripon',,,,,,,,,,,,,,,,
9,61,,1379-11-09,,,,,Document date,Ripon',,,,,,,,,,,,,,,,
9,62,,1379-11-09,,,,,Memorandum date,Ripon',,,,,,,,,,,,,,,,
9,63,,1379-12-08,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
9,64,,1380-06-26,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
9,65,,1379-12-24,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
9,66,,1380-01-23,,,,,Document date,Westm',,,,,,,,,,,,,,,,
9,67,,1380-04-30,,,,,Document date,Gloucestr',,,,,,,,,,,,,,,,
9,68,,1380-12-01,,,,,Event date,Ripon',,,,,,,,,,,,,,,,
9,69,,1380-12-14,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
10,70,,1381-01-11,,,,,Document date,Thorp iuxta Ebor',,,,,,,,,,,,,,,,
10,71,,1381-02-01,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
10,72,,1381-02-03,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
10,73,,1381-02-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
10,74,,1381-02-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
10,75,,1381-02-25,,,,,Document date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
10,76,,1381-02-25,,,,,Memorandum date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
10,77,,1381-02-25,,,,,Document date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
10,78,,1381-02-25,,,,,Document date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
10,79,,1381-02-25,,,,,Document date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
10,80,,1381-02-25,,,,,Memorandum date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
10,81,,1381-03-04,,,,,Document date,Beverl',in manerio nostro,,,,,,,,,,,,,,,
10,82,,1381-02-24,,,,,Document date,Beverlac',in manerio nostro,,1380-09-28,,,,,,Westm',,,,,,,
10,83,,1381-02-26,,,,,Document date,Beverlac',in manerio nostro,,1381-03-27,,,,,Event date,,,,,,,,
11,84,,1381-04-26,,,,,Document date,Beverlac',in manerio nostro,,,,,,,,,,,,,,,
11,85,,1381-05-29,,,,,Document date,Beverl',,,,,,,,,,,,,,,,
11,86,,1381-05-28,,,,,Document date,Beverl',in manerio nostro,,,,,,,,,,,,,,,
11,87,,1381-07-12,,,,,Document date,Beverlac',in manerio nostro,,,,,,,,,,,,,,,
11,88,,1381-07-06,,,,,Document date,Beverlac',,,,,,,,,,,,,,,,
11,89,,1381-07-20,,,,,Document date,Beverlacu',,,,,,,,,,,,,,,,
11,90,,1381-06-24,,,Yes,,Document date,Beverl',,"Dated 'in festo Sancti Johannis Bapte', presumably Nativity of St John the Baptist (24 June)",,,,,,,,,,,,,,
11,91,,1380-07-22,,,,,Document date,Lincoln,in hospitio meo apud Lincoln,,,,,,,,,,,,,,,
11,92,,1381-10-13,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
11,93,,1382-01-08,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
11,94,,1382-01-08,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
11,95,,1382-01-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
11,96,,1382-01-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
12a,97,b,1383-03-06,,,,,Document date,Cawode,in manerio nostro,,1382-09-14,,,,,,Westm',,,1382-12-15,event date,Ebor',cathedral church,
12,98,,1382-01-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
12,99,,1382-01-10,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
12,100,,1382-01-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
12,101,,1382-01-10,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
12,102,,[1382]-02-01,,Yes,,,Document date,Cawode,,Dated in archbishop's eighth year,,,,,,,,,,,,,,
12,103,,1382-02-24,,,,,Document date,Cawode,in manerio nostro,,,,,,,,,,,,,,,
12,104,,1382-02-24,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
12,105,,1382-03-04,,,,,Document date,Thorp iuxta Ebor',,,,,,,,,,,,,,,,
12,106,,1382-03-06,,,,,Document date,Thorp iuxta Ebor',in manerio nostro,,,,,,,,,,,,,,,
12,107,,1380-08-26,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
12,108,,1380-08-26,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
12,109,,1382-04-21,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
12,110,,1382-09-06,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
12,111,,[1382-00-00],,Yes,,,Document date,Beverl',in manso habitaciones mee,"Undated, but document appears with others dated in 1382",,,,,,,,,,,,,,
13,112,,1374-06-04,,,,,Event date,London,in mon beati Petri Westm' prope London,,,,,,,,,,,,,,,
13,113,,1374-06-06,,,,,Document date,London,,,,,,,,,,,,,,,,
13,114,,1374-07-19,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
13,115,,[1374-07-19],,Yes,,,Document date,[Claveryng'],,"Undated, but presumably written on the same day as entry 114",,,,,,,,,,,,,,
13,116,,[1374-07-19],,Yes,,,Document date,[Claveryng'],,"Undated, but presumably written on the same day as entry 114",,,,,,,,,,,,,,
13,117,,[1374-07-19],,Yes,,,Document date,[Claveryng'],,"Undated, but presumably written on the same day as entry 114",,,,,,,,,,,,,,
13,118,,[1374-07-19],,Yes,,,Document date,[Claveryng'],,"Undated, but presumably written on the same day as entry 114",,,,,,,,,,,,,,
13,119,,1374-07-24,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
13,120,,[1374-07-24],,Yes,Yes,,Document date,,,Probably dated on the same day as the previous entry (no. 119),,,,,,,,,,,,,,
13,121,,[1374-07-24],,Yes,Yes,,Document date,,,Probably dated on the same day as entries 119 and 120,,,,,,,,,,,,,,
14,122,,[1374]-07-24,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14,123,,[1374]-07-24,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14,124,,1374-07-19,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14,125,,1374-08-07,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14,126,,1374-08-07,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14,127,,1374-06-11,,,,,Document date,London',,,,,,,,,,,,,,,,
14,128,,1374-08-19,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14,129,,1374-08-19,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14,130,,1374-08-24,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14,131,,1374-08-24,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14,132,,1374-10-13,,,,,Document date,London,,,,,,,,,,,,,,,,
14,133,,1374-10-13,,,,,Document date,London,,,,,,,,,,,,,,,,
14,134,,1374-10-13,,,,,Document date,London,,,,,,,,,,,,,,,,
15,135,,1374-09-16,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
15,136,,1374-09-00,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
15,137,,1374-09-03,,,,,Document date,London',,,,,,,,,,,,,,,,
15,138,,1372-11-17,,,Yes,,Document date,London',,Date as written; apparently dated in the archbishop's third year ('Millesimo cccmo septuagesimo secundo et cons' nostre tercio),,,,,,,,,,,,,,
15,139,,1374-09-02,,,,,Document date,London',,,,,,,,,,,,,,,,
15,140,,1374-10-18,,,,,Document date,London',,,,,,,,,,,,,,,,
15,141,,[0000-00-00],,,,,Document date,London',,"Undated, but document appears with others dated in 1374",,,,,,,,,,,,,,
15,142,,[0000-00-00],,,,,Document date,London',,"Undated, but document appears with others dated in 1374",,,,,,,,,,,,,,
15,143,,1374-06-12,,,,,Document date,London',,,,,,,,,,,,,,,,
15,144,,1374-10-23,,,,,Document date,London',,,,,,,,,,,,,,,,
15,145,,1374-10-24,,,,,Document date,London',,,,,,,,,,,,,,,,
15,146,,1374-10-24,,,,,Document date,London',,,,,,,,,,,,,,,,
16,147,,1374-10-20,,,,,Document date,London',,,,,,,,,,,,,,,,
16,148,,1374-10-24,,,,,Document date,London',,,,,,,,,,,,,,,,
16,149,,1374-10-27,,,,,Document date,London',in hospitio dicto Pulteneys,,,,,,,,,,,,,,,
16,150,,1374-10-28,,,,,Document date,London',,,,,,,,,,,,,,,,
16,151,,1374-11-02,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
16,152,,1374-10-22,,,,,Event date,London',in camera hospitii Pountenysyn vugarie nuncupat quod ... In parochia sancti Laurencii Pounteney London,,,,,,,,,,,,,,,
16,153,,1374-10-22,,,,,Event date,,,,,,,,,,,,,,,,,
16,154,,1374-11-10,,,,,Document date,Suthwell,,,,,,,,,,,,,,,,
16,155,,[1374]-11-21,,,Yes,,Event date,Esyngton',,"No year given, but document appears with others dated in 1374",,,,,,,,,,,,,,
16,156,,[0000-00-00],,,,,Document date,,,"Undated, but document appears with others dated in 1374",,,,,,,,,,,,,,
16,157,,1374-12-08,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
