New Folio No. ,Entry No.,Entry Part,Date Range - Standard - Start,Date Range - Standard - End,Date - Inferred,Date - Uncertain,Date - Approximate,Date - Type,Place - As Written,Place - Type,Date - Notes,Recited Date 1 Range - Standard - Start,Recited Date Range - Standard - End,Recited Date - Inferred,Recited Date - Uncertain,Recited Date - Approximate,Recited Date 1 - Type,Recited Date 1 - Place - As Written,Recited Date 1 - Place - Type,Recited Date 1- Notes,Recited date 2 - standard,Recited date 2 - place - as written,Recited date 2 - place - type,,
22,273,,1376-08-14,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
22,274,,1376-08-18,,,,,Document date,,,,,,,,,,,,,,,,,
22,275,,1376-08-20,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
22,276,,1376-08-20,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
22,277,,1376-08-24,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
22 r - 22 v,278,,1376-02-24,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,,,
22,279,,1376-09-03,,,,,Document date,Beverl',,,,,,,,,,,,,,,,
22,280,,1376-09-03,,,,,Document date,Beverl',,,,,,,,,,,,,,,,
22 r - 23 v,281,,1376-12-02,,,,,Document date,London,,,,,,,,,,,,,,,,
23,282,,1376-12-02,,,,,Document date,London,,,,,,,,,,,,,,,,
23,283,,1377-02-04,,,,,Document date,London,,,,,,,,,,,,,,,,
23,284,,1377-03-28,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
23,285,,1377-04-06,,,,,Document date,,,,,,,,,,,,,,,,,
23,286,,1377-04-07,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
23,287,,1377-04-07,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
23,288,,[1377]-03-01,,,Yes,,Document date,,,"Year of date unclear because of insertion, but perhaps 1378 ?1377, acc to index of wills",,,,,,,,,,,,,,
23,289,,[1377]-04-07,,,Yes,,Memorandum date,,,"If the will to which this grant of probate refers was dated in 1377, then probate was granted in the same year",,,,,,,,,,,,,,
23,290,,1377-04-22,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
23,291,,1377-04-22,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
23,292,,1377-04-11,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,,,
23,293,,1377-05-01,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,,,
23,294,,1377-05-04,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,,,
23,295,,1377-05-04,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,,,
23,296,,1376-07-25,,,,,Document date,,,,,,,,,,,,,,,,,
23,297,,1377-05-05,,,,,Memorandum date,,,,,,,,,,,,,,,,,
23,298,,1377-05-13,,,,,Memorandum date,,,,,,,,,,,,,,,,,
23,299,,1377-05-26,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
23,300,,1377-05-26,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
23,301,,1377-06-08,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
23,302,,1377-06-11,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
23,303,,1377-06-11,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
23,304,,1377-06-11,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
23,305,,1377-06-11,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
24,306,,1377-07-05,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
24,307,,1377-04-09,,,,,Document date,,,,,,,,,,,,,,,,,
24,308,,1377-07-07,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
24,309,,[0000-00-00],,,,,Memorandum date,,,"Undated, but document appears with others dated in 1377",,,,,,,,,,,,,,
24,310,,1377-08-02,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
24,311,,1377-08-04,,,,,Memorandum date,,,,,,,,,,,,,,,,,
24v - 25 r,312,,1377-08-04,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
25,313,,1377-09-01,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,,,
25,314,,1377-09-01,,,,,Memorandum date,Cawod,archbishop's manor,,,,,,,,,,,,,,,
25,315,,1377-09-08,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
25,316,,1377-09-08,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
25,317,,[0000-00-00],,,,,Memorandum date,,,"Undated, but document appears with others dated in September 1377",,,,,,,,,,,,,,
25,318,,1377-09-29,,,,,Memorandum date,,,,,,,,,,,,,,,,,
25,319,,1377-10-04,,,,,Memorandum date,,,,,,,,,,,,,,,,,
25,320,,1377-10-20,,,,,Document date,Lond',archbishop's manor,,,,,,,,,,,,,,,
25,321,,1377-12-20,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
25,322,,1377-12-20,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
25,323,,1378-01-12,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
25,324,,1378-01-12,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
25,325,,[0000-00-00],,,,,Document date,,,"Undated, ?incomplete, but document appears with others dated in early 1378",,,,,,,,,,,,,,
25,326,,1378-02-12,,,,,Memorandum date,,,,,,,,,,,,,,,,,
25,327,,1378-03-20,,,,,Memorandum date,,,,,,,,,,,,,,,,,
25,328,,[0000-00-00],,,,,Document date,,,"Undated, but document appears with others dated in early 1378",,,,,,,,,,,,,,
25,329,,1378-04-01,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
25,330,a,1378-04-01,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
25,330,b,1378-04-01,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
25,330,c,1378-04-01,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
25,330,d,1378-04-01,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
26,331,,1378-04-08,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
26,332,,1378-04-14,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
26,333,,1378-04-14,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
26,334,,1378-04-14,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
26,335,,1378-05-17,,,,,Memorandum date,,,,,,,,,,,,,,,,,
26,336,,1378-05-31,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
26,337,,1378-05-31,,,,,Memorandum date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
26,338,,1378-06-08,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
26,339,,1378-06-08,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
26,340,,1378-06-23,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
,341,,1378-06-23,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
26,342,,1378-04-19,,,,,Document date,Hautempris,,,,,,,,,,,,,,,,
26,343,,1378-07-04,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
26,344,,1378-07-26,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
26,345,,1378-08-14,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
26,346,,1378-08-14,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
26,347,,1378-12-05,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
26,348,,1378-12-05,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
27,349,,1378-12-12,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
27,350,,1378-12-12,,,,,Memorandum date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
27,351,,1378-12-20,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
27,352,,1378-12-20,,,,,Memorandum date,,,,,,,,,,,,,,,,,
27,353,,1379-01-09,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
27,354,,1379-01-09,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
27,355,,1379-01-10,,,,,Document date,Cawode,,,[0000-00-00],,,,,,,,,,,,,
27,356,,1379-03-24,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
27,357,,1379-03-24,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
27,358,,1379-03-23,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
28,359,,1379-04-09,,,,,Memorandum date,,,,,,,,,,,,,,,,,
28,360,,1379-05-12,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
28,361,,1379-06-01,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
28,362,,1379-06-01,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
28,363,,1379-06-22,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
28,364,,1379-06-22,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
28,365,,1379-06-29,,,,,Memorandum date,,,,,,,,,,,,,,,,,
28,366,,1379-07-07,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
28,367,,1379-07-07,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
28,368,,1379-07-12,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
28,369,,1379-07-12,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
28,370,,1379-07-12,,,,,Memorandum date,,,,,,,,,,,,,,,,,
28,371,,1379-07-20,,,,,Memorandum date,,,,,,,,,,,,,,,,,
28,372,,1379-08-02,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
28,373,,1379-08-02,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
28,374,,1379-08-02,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
28,375,,1379-08-12,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
28,376,,1379-08-12,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
28 v - 29 r,377,,1379-08-12,,,,,Document date,Cawode,,,1379-08-08,,,,,,Ebor',,,,,,,
29,378,,1379-11-02,,,,,Document date,Ripon',,,,,,,,,,,,,,,,
29,379,,1379-11-02,,,,,Memorandum date,Ripon',,,,,,,,,,,,,,,,
29,380,,[1379-00-00],,,,,Document date,,,"Undated, but refers to appointment following death of Master Hugh Wymondeswold, which occurred before 3 November 1379 (Fasti, p. 86)",,,,,,,,,,,,,,
29,381,,1379-09-12,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
29,382,,1379-10-17,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
29,383,,1380-02-20,,,,,Document date,Westm',archbishop's manor,,,,,,,,,,,,,,,
29,384,,1380-02-18,,,,,Memorandum date,,,,,,,,,,,,,,,,,
29,385,,1380-05-21,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
29 v - 29 v,386,,1380-06-27,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
29 v - 29 v,387,,1380-06-27,,,,,Memorandum date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
29 v - 29 v,388,,1380-07-31,,,,,Memorandum date,,,,,,,,,,,,,,,,,
29 v - 29 v,389,,1380-07-28,,,,,Memorandum date,,,,,,,,,,,,,,,,,
29 v - 29 v,390,,1380-08-05,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
29 v - 29 v,391,,1380-08-05,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
29 v - 29 v,392,,1380-09-01,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
29 v - 29 v,393,,1380-09-01,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
29 v - 29 v,394,,1380-09-09,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
29 v - 29 v,395,,1380-09-09,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
29 v - 29 v,396,,1380-09-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
29 v - 29 v,397,,1380-09-10,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
29 v - 29 v,398,,1380-11-18,,,,,Document date,Ripon',,,,,,,,,,,,,,,,
29 v - 29 v,399,,1380-11-18,,,,,Memorandum date,Ripon',,,,,,,,,,,,,,,,
29 v - 29 v,400,,1380-11-21,,,,,Document date,Ripon',,,,,,,,,,,,,,,,
29 v - 29 v,401,,1380-11-21,,,,,Memorandum date,Ripon',,,,,,,,,,,,,,,,
29 v - 29 v,402,,1380-12-22,,,,,Document date,Ebor',,,,,,,,,,,,,,,,
29 v - 29 v,403,,1380-12-22,,,,,Memorandum date,Ebor',,,,,,,,,,,,,,,,
29 v - 29 v,404,,1380-12-24,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
29 v - 29 v,405,,1380-12-24,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
30 r - 30 r,406,,1381-01-11,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
30 r - 30 r,407,,1381-01-11,,,,,Memorandum date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
30 r - 30 r,408,,1378-01-12,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
30 r - 30 r,409,,1378-01-12,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
30 v - 30 v,410,,1381-05-08,,,,,Document date,Beverlaci,archbishop's manor,,,,,,,,,,,,,,,
30 v - 30 v,411,,1381-05-08,,,,,Memorandum date,Beverlaci,,,,,,,,,,,,,,,,
30 v - 30 v,412,,1381-09-06,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
30 v - 30 v,413,,1381-09-06,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
30 v - 30 v,414,,1381-09-06,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
30 v - 30 v,415,,1381-09-06,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
30 v - 30 v,416,,1381-09-22,,,,,Document date,,,,,,,,,,,,,,,,,
30 v - 30 v,417,,1381-11-14,,,,,Document date,London',,,,,,,,,,,,,,,,
30 v - 30 v,418,,1381-11-14,,,,,Memorandum date,London',,,,,,,,,,,,,,,,
30 v - 30 v,419,,1381-12-05,,,,,Document date,Westm',archbishop's manor near,,,,,,,,,,,,,,,
30 v - 30 v,420,,1381-12-05,,,,,Memorandum date,Westm',,,,,,,,,,,,,,,,
30 v - 30 v,421,,[1381]-02-14,,,,,Document date,Cawode,,"Document refers to above-written year, presumably 1381",,,,,,,,,,,,,,
30 v - 30 v,422,,[1381]-02-14,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
30 v - 30 v,423,,[1381]-03-14,,,,,Document date,Cawode,,"Document refers to above-written year, presumably 1381",,,,,,,,,,,,,,
30 v - 30 v,424,,[1381]-03-14,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
31 r - 31 r,425,,1382-03-16,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
31 r - 31 r,426,,[1382]-05-31,,,,,Memorandum date,,,"No year given, but presumably 1382",,,,,,,,,,,,,,
31 r - 31 r,427,,1382-04-12,,,,,Document date,Beverlacum,,,,,,,,,,,,,,,,
31 r - 31 r,428,,1382-04-12,,,,,Memorandum date,Beverlacum,,,,,,,,,,,,,,,,
31 r - 31 r,429,,1382-09-07,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
31 r - 31 r,430,,1382-09-08,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
31 r - 31 r,431,,[1382]-09-07,,,,,Document date,Cawode,,"No year given, but presumably 1382",,,,,,,,,,,,,,
31 r - 31 r,432,,[1382-09-07],,,,,Document date,,,"Undated, but perhaps taken on 7 September 1382, the date of attestation of profession (entry 434)",,,,,,,,,,,,,,
31 v - 31 v,433,,[1382-09-07],,,,,Document date,,,"Undated, but perhaps made on 7 September 1382, the date of attestation (entry 434)",,,,,,,,,,,,,,
31 v - 31 v,434,,1382-09-07,,,,,Document date,,,,,,,,,,,,,,,,,
31 v - 31 v,435,,1382-09-08,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
31 v - 31 v,436,,1382-09-06,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
31 v - 31 v,437,,1382-09-06,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
31 v - 31 v,438,,[0000-00-00],,,,,Memorandum date,,,"Undated, but document with others dated in September 1382",,,,,,,,,,,,,,
31 v - 31 v,439,,1382-08-12,,,,,Document date,Britton',,,,,,,,,,,,,,,,
31 v - 31 v,440,,1382-10-04,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
31 v - 31 v,441,,1382-10-04,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
32 r - 32 r,442,,1382-10-22,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
32 r - 32 r,443,,1382-10-22,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
32 r - 32 r,444,,1382-11-02,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
32 r - 32 r,445,,1382-11-02,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
32 r - 32 r,446,,[1382]-11-05,,,,,Document date,Cawode,archbishop's manor,"Year is as given above, therefore presumably 1382",,,,,,,,,,,,,,
32 r - 32 r,447,,[1382]-11-05,,,,,Memorandum date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
32 r - 32 r,448,,1382-10-20,,,,,Document date,Hymeswrth,,,,,,,,,,,,,,,,
32 r - 32 r,449,,1382-12-21,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,,,
32 r - 32 r,450,,1382-12-21,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
32 r - 32 r,451,,1383-04-00,,,,,Document date,Cawod,,Day of date is blank,,,,,,,,,,,,,,
32 v - 32 v,452,,1383-04-30,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
32 v - 32 v,453,,1383-04-30,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
32 v - 32 v,454,,1383-05-01,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
32 v - 32 v,455A,,1383-05-06,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
32 v - 32 v,455B,,1383-06-14,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
32 v - 32 v,456,,1383-06-14,,,,,Memorandum date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
32 v - 32 v,457,,1383-07-17,,,,,Document date,Thorp' iuxta Ebor',archbishop's manor,,,,,,,,,,,,,,,
32 v - 32 v,458,,1383-09-19,,,,,Document date,Ebor',,,1383-08-31,Popilton',,,,,Popilton',,,,,,,
32 v - 32 v,459,,1384-01-07,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
32 v - 32 v,460,,1384-01-07,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
33 r - 33 r,461,,1383-12-07,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
33 r - 33 r,462,,1383-12-07,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
33 r - 33 r,463,,1383-10-20,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,,,
33 r - 33 r,464,,1383-10-20,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
33 r - 33 r,465,,1384-01-07,,,,,Document date,Armelaihall,,,,,,,,,,,,,,,,
33 r - 33 r,466,,1384-02-04,,,,,Document date,Cawode,,"Dated 'fourth day of aforesaid month'; presumably February, referred to within",,,,,,,,,,,,,,
33 v - 33 v,467,,1384-02-21,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
33 v - 33 v,468,,1384-02-21,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
33 v - 33 v,469,,1384-02-23,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
33 v - 33 v,470,,1384-02-23,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
33 v - 33 v,471,,1384-03-26,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,,,
33 v - 33 v,472,,1384-05-03,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,,,
33 v - 33 v,473,,1384-05-03,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
33 v - 33 v,474,,1384-05-09,,,,,Document date,Preston' Jakelyn,,,,,,,,,,,,,,,,
33 v - 33 v,475,,1384-06-11,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
33 v - 33 v,476,,1384-06-11,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
34 r - 34 r,477,,[0000-00-00],,,,,Document date,Cawode,archbishop's manor,"Undated, but document appears with others, some dated 1383 and 1384; perhaps 1382 when estates of canon and prebendary ratified (Fasti, p. 42)",,,,,,,,,,,,,,
34 r - 34 r,478,,1383-05-08,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,,,
34 r - 34 r,479,,1383-05-08,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
34 r - 34 r,480,,1380-02-14,,,,,Document date,Westm',archbishop's manor near,,,,,,,,,,,,,,,
34 r - 34 r,481,,1383-12-09,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
34 r - 34 r,482,,1383-12-09,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
34 r - 34 r,483,,[0000-00-00],,,,,Document date,,,Undated; incomplete,,,,,,,,,,,,,,
34 v - 34 v,484,,1381-07-12,,,,,Document date,Beverl',archbishop's manor,,,,,,,,,,,,,,,
34 v - 35 r,485,a,1379-01-20,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
36 r - 36 r,486,,1374-06-17,,,,,Event date,beate Marie ***,parish church,,,,,,,,,,,,,,,
36 r - 36 v,487,,1374-06-24,,,,,Event date,"St James within Lonon, 'capella de la hermitage'",chapel,,[1374]-06-24,,,,,Document date,Claveryng',,,1374-06-24,Hadham,,,
36 v - 36 v,488,,1374-06-24,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
36 v - 36 v,489,,[1374-06-24],,,,,Document date,Claveryng',,"Dated on the day and year abovewritten, therefore presumably on 24 June 1374",,,,,,,,,,,,,,
36 v - 36 v,490,,[1374]-06-26,,,,,Document date,Claveryng',,"Dated in the year abovewritten, therefore presumably 1374",,,,,,,,,,,,,,
36 v - 36 v,491,,[1374-06-24],,,,,Document date,Claveryng',,"Dated on the day and year abovewritten, therefore presumably on 24 June 1374",,,,,,,,,,,,,,
36 v - 36 v,492,,[0000-00-00],,,,,Event date,,,"Undated, but oath presumably taken around 24 June 1374",,,,,,,,,,,,,,
36 v - 36 v,493,,[1374]-07-27,,,,,Document date,Claveryng',,"Dated in the year abovewritten, therefore presumably 1374",,,,,,,,,,,,,,
37 r - 37 r,494,,[1374]-07-27,,,,,Memorandum date,Claveryng',,,,,,,,,,,,,,,,
37 r - 37 r,495,,[1374]-07-17,,,,,Event date,Claveryng',in archbishop's chamber at,Dated in the second year since the archbishop's institution,,,,,,,,,,,,,,
37 r - 37 r,496,,1374-06-11,,,,,Document date,London',,,,,,,,,,,,,,,,
37 r - 37 r,497,,1374-10-03,,,,,Document date,Treton,parish church,,,,,,,,,,,,,,,
37 r - 37 r,498,,1374-10-22,,,,,Document date,London',,,,,,,,,,,,,,,,
37 v - 37 v,499,,1374-10-23,,,,,Document date,London',,,,,,,,,,,,,,,,
37 v - 37 v,500,,1374-11-10,,,,,Document date,Suthwell,,,,,,,,,,,,,,,,
37 v - 37 v,501,,1374-12-20,,,,,Document date,Thorp,,,,,,,,,,,,,,,,
37 v - 37 v,502,,1374-12-20,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
37 v - 37 v,503,,1374-11-21,,,,,Memorandum date,Burghbrig',,,,,,,,,,,,,,,,
37 v - 37 v,504,,1374-12-22,,,,,Memorandum date,Thorp',,,,,,,,,,,,,,,,
37 v - 37 v,505,,1375-03-12,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
37 v - 37 v,506,,1375-03-12,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
37 v - 37 v,507,,1375-04-09,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
37 v - 37 v,508,,1375-04-09,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
37 v - 37 v,509,,1375-04-09,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
37 v - 37 v,510,,1375-04-09,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
37 v - 37 v,511,,1375-04-09,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
