Bachelor of Laws
Bachelor of decrees
Doctor of Laws
Licentiate in Laws
Master of Theology
Sacre Theologiae Professor
bachelor of Theology
de Fitlyng'
in decretisque licentiato
licentiate in Arts
licentiate in Laws
sacre pagine professori
utrius iuris doctor
utriusque iuris doctor
utriusque iuris professores
