son of
Pope
testator
accused
addressee
addressee (alternative)
addressee's late husband
agreeing to exchange
apostate
apparitor
appellant
appellate
appointee
attendant
beneficiary
brother
canon
celebrant
chapel owner
chapter
clerk
collator
collector
commissary
commissioner
complainant
complainants
confirms ordinances
curator of John de la Pole
defence proctor
defendant
dowager/holder of third part of manor in dower
exchanged from
exchanged to
exchanger
executor
executors granted probate
executrix
father of
father of former grantee
feoffee
former archbishop
former archdeacon
former bishop
former canon
former canon and prebendary
former canon and prebendary (deceased)
former chancellor
former dean
former feoffee
former grantee
former office holder
former owner of item bequeathed
former prebendary
former precentor
former property holder
former provost
former rector
founder
founder of chapel
grantee
grantor
grantor of tax
guardians
health to be prayed for
holder of two parts of manor
husband of legatee
in disputed possession
informant
informant on behalf
intermediary
intervening parties
issuer
king
legacy
legatee
legatee's father
legatees
letter recited
licensee
licensee on behalf of owner of oratory
licensor
lord
made confession
made inquisition
masses to be said for
mentioned
mother of legatee
new altar vicar
new archdeacon
new canon
new canon and prebendary
new canon with expectation of prebend
new feoffee
new king
new notary public
new prebendary
new precentor
new provost
new sheriff
nominated canon and prebendary before death
nominator
notary
notary public
obedience sworn to
party
party to dispute
patron
pensioner
persons benefitting
petitioner
plaintiff
prebend
prebendary (former)
present
presiding
prior
prior and convent
probate granted before
probate granted to
proctor
proctor of archbishop
proctor of court
proctor of addressee
proctor of canon
proctor of former canon and prebendary
proctor of new canon
proctor of new canon and prebendary
proctor of new dean
proctor of new prebendary
proctor of subject of exchange
promoter
promoting parties
property holder
prosecution proctor
provider
provisor
recipient
recipient of letters dimissory
recipient of letters of quest
recipient of monition
requester of tax
requests exchange
residiary beneficiaries
residiary beneficiary
residuary legatee
resigned from
sender
soul to be prayed for
subject of admission
subject of exchange
subject of inquiry
subject of prayers
subject of purgation
subscriber
supervisor
tax collector
taxpayer
to be inducted
took oath of obedience
undefined
vicars
witness
wrongdoer
